Q,I(Q),Error
0.003245494,0.023017774,0.020014197
0.00352771,0.021193169,0.001047617
0.003809927,0.017650379,0.000738399
0.004092144,0.017976151,0.000629819
0.004374361,0.016856504,0.000527308
0.004656578,0.016859825,0.000454433
0.004938795,0.016141609,0.0004274
0.005221011,0.01725977,0.00036545
0.005503228,0.015984519,0.000349502
0.005785445,0.015694488,0.000309581
0.006067662,0.016369502,0.000289344
0.006349879,0.015977819,0.000277951
0.006632096,0.015994471,0.000246888
0.006914312,0.015912025,0.000240637
0.007196529,0.016217518,0.000224725
0.007478746,0.016127728,0.000216771
0.007760963,0.015893267,0.000207032
0.00804318,0.015809182,0.000196308
0.008325397,0.01581042,0.000193105
0.008607614,0.01562179,0.000175928
0.00888983,0.015701422,0.000175778
0.009172047,0.01544612,0.000167844
0.009454264,0.015485134,0.000160374
0.009736481,0.015706657,0.000159852
0.010018698,0.015490348,0.000152532
0.010300915,0.015337715,0.000150145
0.010583131,0.015388134,0.000151506
0.010865348,0.01523297,0.000145419
0.011147565,0.015264371,0.000149842
0.011429782,0.014900801,0.000140271
0.011711999,0.014897586,0.000143212
0.011994216,0.015258079,0.000140619
0.012276432,0.014967876,0.000137633
0.012558649,0.014896373,0.000135259
0.012840866,0.014882817,0.000130973
0.013123083,0.014913588,0.000132089
0.0134053,0.01480971,0.000127583
0.013687517,0.014796944,0.000128915
0.013969733,0.014979619,0.00012587
0.01425195,0.014584348,0.000120258
0.014534167,0.014403332,0.00012097
0.014816384,0.014266803,0.000118947
0.015098601,0.014315135,0.000119076
0.015380818,0.014431436,0.000116988
0.015663034,0.014300272,0.000113989
0.015945251,0.014212632,0.000114361
0.016227468,0.014216965,0.000111483
0.016509685,0.013984296,0.00011096
0.016791902,0.013891131,0.000108399
0.017074119,0.013963765,0.000109079
0.017356335,0.013907499,0.000103907
0.017638552,0.013799411,9.94455E-05
0.017920769,0.013879883,9.86308E-05
0.018202986,0.013437274,9.58005E-05
0.018485203,0.013589018,9.54374E-05
0.01876742,0.013559582,9.26314E-05
0.019049636,0.013451818,9.13332E-05
0.019331853,0.013359442,9.01328E-05
0.01961407,0.013516539,8.93042E-05
0.019896287,0.013325536,8.8304E-05
0.020178504,0.01312754,8.67088E-05
0.020460721,0.013188499,8.59411E-05
0.020742938,0.013040253,8.49255E-05
0.021025154,0.01272141,8.33244E-05
0.021307371,0.012840832,8.31331E-05
0.021589588,0.012769812,8.11057E-05
0.021871805,0.012641814,8.28563E-05
0.022154022,0.012555457,8.06717E-05
0.022436239,0.012381372,7.94614E-05
0.022718455,0.012414712,7.91782E-05
0.023000672,0.01234232,7.81505E-05
0.023282889,0.012412585,7.81731E-05
0.023565106,0.012254385,7.68251E-05
0.023847323,0.012140627,7.61727E-05
0.02412954,0.011990775,7.65269E-05
0.024411756,0.012019338,7.53619E-05
0.024693973,0.011859068,7.47445E-05
0.02497619,0.011895902,7.37181E-05
0.025258407,0.011800361,7.29646E-05
0.025540624,0.011621279,7.3523E-05
0.025822841,0.011596608,7.17368E-05
0.026105057,0.011564383,7.25631E-05
0.026387274,0.011451431,7.00924E-05
0.026669491,0.011312988,7.10538E-05
0.026951708,0.011326864,7.22573E-05
0.027233925,0.010929541,7.08335E-05
0.027516142,0.011052673,7.25077E-05
0.027798358,0.011004082,7.18791E-05
0.028080575,0.010910928,7.30094E-05
0.028362792,0.010977147,7.18153E-05
0.028645009,0.010803768,7.15573E-05
0.028927226,0.010549769,7.27344E-05
0.029209443,0.010619998,7.06191E-05
0.029491659,0.010598098,7.16989E-05
0.029773876,0.010508892,7.03874E-05
0.030056093,0.010363716,6.99331E-05
0.03033831,0.010339089,7.10969E-05
0.030620527,0.010215965,6.8625E-05
0.030902744,0.010144353,6.93648E-05
0.03118496,0.010038664,6.75998E-05
0.031467177,0.009928504,6.80832E-05
0.031749394,0.009898496,6.80866E-05
0.032031611,0.009920712,6.69278E-05
0.032313828,0.009826257,6.75756E-05
0.032596045,0.009710868,6.63326E-05
0.032878261,0.009543618,6.73547E-05
0.033160478,0.009519275,6.64222E-05
0.033442695,0.009471884,6.6358E-05
0.033724912,0.009517809,6.65414E-05
0.034007129,0.009278427,6.59737E-05
0.034289346,0.009272712,6.6459E-05
0.034571562,0.009136205,6.4241E-05
0.034853779,0.009114404,6.49369E-05
0.035135996,0.009075192,6.50955E-05
0.035418213,0.008930649,6.34174E-05
0.03570043,0.008882469,6.38494E-05
0.035982647,0.008850013,6.30379E-05
0.036264864,0.00882916,6.40268E-05
0.03654708,0.008729618,6.25017E-05
0.036829297,0.008722454,6.29745E-05
0.037111514,0.008510547,6.25324E-05
0.037393731,0.008628545,6.19992E-05
0.037675948,0.008449689,6.24174E-05
0.037958165,0.00832171,6.14748E-05
0.038240381,0.008268188,6.10376E-05
0.038522598,0.008228903,6.12443E-05
0.038804815,0.008153057,5.99141E-05
0.039087032,0.008008415,6.07643E-05
0.039369249,0.008019435,5.94609E-05
0.039651466,0.007901801,5.95637E-05
0.039933682,0.00784717,6.00443E-05
0.040215899,0.007784532,5.86407E-05
0.040498116,0.007725505,5.92142E-05
0.040780333,0.00765524,5.8348E-05
0.04106255,0.007677287,5.90499E-05
0.041344767,0.007664961,5.86513E-05
0.041626983,0.007481922,5.81557E-05
0.0419092,0.007444179,5.77949E-05
0.042191417,0.00744302,5.71605E-05
0.042473634,0.007221003,5.7426E-05
0.042755851,0.007287229,5.75348E-05
0.043038068,0.007219474,5.80301E-05
0.043320284,0.007125871,5.94143E-05
0.043602501,0.00704812,5.87095E-05
0.043884718,0.006969478,5.97452E-05
0.044166935,0.006999811,5.91272E-05
0.044449152,0.006875481,5.99894E-05
0.044731369,0.006964313,6.10636E-05
0.045013585,0.006941891,6.02268E-05
0.045295802,0.006783268,6.06926E-05
0.045578019,0.006717608,6.019E-05
0.045860236,0.006640423,6.02982E-05
0.046142453,0.006738767,6.13384E-05
0.04642467,0.00651317,6.00976E-05
0.046706886,0.006524111,6.10909E-05
0.046989103,0.006492983,6.01658E-05
0.04727132,0.006325151,6.16127E-05
0.047553537,0.006402727,6.11969E-05
0.047835754,0.006243524,6.02369E-05
0.048117971,0.006229264,6.24319E-05
0.048400187,0.00620976,6.01443E-05
0.048682404,0.006224889,6.13077E-05
0.048964621,0.006215595,6.07539E-05
0.049246838,0.005949295,6.0777E-05
0.049529055,0.005882389,6.14018E-05
0.049811272,0.006062179,5.94248E-05
0.050093488,0.005779924,5.89615E-05
0.050375705,0.005780704,5.75088E-05
0.050657922,0.005817313,5.82141E-05
0.050940139,0.005600878,5.68547E-05
0.051222356,0.005549193,5.52752E-05
0.051504573,0.005578481,5.60553E-05
0.05178679,0.005419147,5.48758E-05
0.052069006,0.005469639,5.59593E-05
0.052351223,0.005502087,5.38886E-05
0.05263344,0.005422708,5.41098E-05
0.052915657,0.005399475,5.47175E-05
0.053197874,0.005307367,5.31349E-05
0.053480091,0.005285823,5.32767E-05
0.053762307,0.005205429,5.19626E-05
0.054044524,0.00522709,5.28823E-05
0.054326741,0.005131701,5.25383E-05
0.054608958,0.005020551,5.15353E-05
0.054891175,0.005099581,5.2492E-05
0.055173392,0.00500553,5.11666E-05
0.055455608,0.005026931,5.14969E-05
0.055737825,0.004901993,5.14021E-05
0.056020042,0.004940793,5.05774E-05
0.056302259,0.004790746,5.01852E-05
0.056584476,0.004716635,4.99347E-05
0.056866693,0.004655942,4.99535E-05
0.057148909,0.00465281,4.9311E-05
0.057431126,0.004683843,4.9799E-05
0.057713343,0.004701401,4.97796E-05
0.05799556,0.004540631,4.92534E-05
0.058277777,0.004556219,4.90786E-05
0.058559994,0.004497831,4.84538E-05
0.05884221,0.004551515,4.94389E-05
0.059124427,0.00443736,4.86867E-05
0.059406644,0.00453914,4.91433E-05
0.059688861,0.00434147,4.82249E-05
0.059971078,0.004243172,4.79436E-05
0.060253295,0.004259257,4.83001E-05
0.060535511,0.004314462,4.81696E-05
0.060817728,0.004265196,4.81704E-05
0.061099945,0.004224769,4.7781E-05
0.061382162,0.004048648,4.67971E-05
0.061664379,0.00412949,4.76537E-05
0.061946596,0.00414304,4.73471E-05
0.062228812,0.004023753,4.74571E-05
0.062511029,0.004096749,4.70249E-05
0.062793246,0.003993711,4.7401E-05
0.063075463,0.003949861,4.73623E-05
0.06335768,0.003934662,4.62778E-05
0.063639897,0.003887728,4.62382E-05
0.063922113,0.003891951,4.64143E-05
0.06420433,0.003837254,4.62287E-05
0.064486547,0.003795995,4.67432E-05
0.064768764,0.003722817,4.55632E-05
0.065050981,0.003777496,4.65409E-05
0.065333198,0.003719332,4.5679E-05
0.065615414,0.00371965,4.55992E-05
0.065897631,0.003657129,4.60253E-05
0.066179848,0.003592648,4.45387E-05
0.066462065,0.003607167,4.59695E-05
0.066744282,0.003446232,4.45787E-05
0.067026499,0.003551708,4.54853E-05
0.067308716,0.003488433,4.50478E-05
0.067590932,0.003459675,4.49967E-05
0.067873149,0.003460711,4.50727E-05
0.068155366,0.003366748,4.41E-05
0.068437583,0.003423806,4.5083E-05
0.0687198,0.003324582,4.45066E-05
0.069002017,0.003344452,4.40499E-05
0.069284233,0.003398184,4.43264E-05
0.06956645,0.003327857,4.44549E-05
0.069848667,0.003216691,4.42742E-05
0.070130884,0.003273428,4.39239E-05
0.070413101,0.003299543,4.44096E-05
0.070695318,0.00320671,4.52391E-05
0.070977534,0.00307191,4.48761E-05
0.071259751,0.003186673,4.58435E-05
0.071541968,0.003122683,4.52479E-05
0.071824185,0.003047682,4.7054E-05
0.072106402,0.003054962,4.61448E-05
0.072388619,0.003071597,4.59183E-05
0.072670835,0.003011786,4.60237E-05
0.072953052,0.002947446,4.59277E-05
0.073235269,0.002922553,4.66801E-05
0.073517486,0.002847511,4.66947E-05
0.073799703,0.002900934,4.61839E-05
0.07408192,0.002937877,4.77629E-05
0.074364136,0.002902733,4.6464E-05
0.074646353,0.002846644,4.72972E-05
0.07492857,0.002776039,4.73097E-05
0.075210787,0.002775232,4.63631E-05
0.075493004,0.00275146,4.69578E-05
0.075775221,0.002743159,4.60161E-05
0.076057437,0.002730343,4.74394E-05
0.076339654,0.002753857,4.70177E-05
0.076621871,0.002759018,4.68843E-05
0.076904088,0.00265554,4.65477E-05
0.077186305,0.002708031,4.60053E-05
0.077468522,0.002734647,4.71227E-05
0.077750738,0.00272682,4.65068E-05
0.078032955,0.002664445,4.62293E-05
0.078315172,0.002623839,4.63718E-05
0.078597389,0.002603425,4.70394E-05
0.078879606,0.002587453,4.74979E-05
0.079161823,0.002539616,4.53914E-05
0.079444039,0.002612125,4.78698E-05
0.079726256,0.002522867,4.61008E-05
0.080008473,0.002453378,4.62894E-05
0.08029069,0.002420572,4.62031E-05
0.080572907,0.002410305,4.51662E-05
0.080855124,0.002393545,4.66621E-05
0.08113734,0.002376944,4.60739E-05
0.081419557,0.002360841,4.59288E-05
0.081701774,0.00241636,4.67612E-05
0.081983991,0.002301546,4.55842E-05
0.082266208,0.002410558,4.70661E-05
0.082548425,0.002301642,4.53047E-05
0.082830641,0.00219963,4.54053E-05
0.083112858,0.002287762,4.58948E-05
0.083395075,0.002218012,4.53498E-05
0.083677292,0.002229503,4.58394E-05
0.083959509,0.002223647,4.55262E-05
0.084241726,0.002226421,4.65716E-05
0.084523943,0.0022126,4.51848E-05
0.084806159,0.002196051,4.60733E-05
0.085088376,0.002197645,4.6025E-05
0.085370593,0.002098295,4.48971E-05
0.08565281,0.00213493,4.58109E-05
0.085935027,0.002068842,4.47838E-05
0.086217244,0.002079085,4.4925E-05
