# q  I_recon
2.398167000000000094e-03 9.974987976519781308e-01
2.680304000000000107e-03 9.968768599886466131e-01
2.962441000000000119e-03 9.961863593831208341e-01
3.244579000000000039e-03 9.954274763107301416e-01
3.526716000000000052e-03 9.946004333901159455e-01
3.808853000000000065e-03 9.937054420816179290e-01
4.090990000000000078e-03 9.927427036998498489e-01
4.373128000000000432e-03 9.917124179657724747e-01
4.655264999999999577e-03 9.906148604489704024e-01
4.937401999999999590e-03 9.894503439767401431e-01
5.219539999999999944e-03 9.882191753133796608e-01
5.501676999999999956e-03 9.869216575301245076e-01
5.783813999999999969e-03 9.855580824396656947e-01
6.065950999999999982e-03 9.841288019316388747e-01
6.348089000000000336e-03 9.826341999487891998e-01
6.630226000000000348e-03 9.810746644796721760e-01
6.912363000000000361e-03 9.794505370367432295e-01
7.194500000000000374e-03 9.777621684472351804e-01
7.476637999999999860e-03 9.760099964052300070e-01
7.758774999999999873e-03 9.741945337793384008e-01
8.040912000000000753e-03 9.723162485174804415e-01
8.323050000000000240e-03 9.703755483940895710e-01
8.605187000000000253e-03 9.683728646454929923e-01
8.887324000000000265e-03 9.663087068764794063e-01
9.169461000000000278e-03 9.641836453954524266e-01
9.451598999999999764e-03 9.619982115522632826e-01
9.733735999999999777e-03 9.597528979051290765e-01
1.001587299999999979e-02 9.574481781186927609e-01
1.029800999999999980e-02 9.550846284369474137e-01
1.058014799999999929e-02 9.526628630715666679e-01
1.086228499999999930e-02 9.501835017364929081e-01
1.114442199999999931e-02 9.476471018906401644e-01
1.142656000000000054e-02 9.450542282269750460e-01
1.170869700000000055e-02 9.424055594069805641e-01
1.199083400000000056e-02 9.397017840178500947e-01
1.227297100000000057e-02 9.369435376169470420e-01
1.255510900000000006e-02 9.341313461576858934e-01
1.283724600000000007e-02 9.312657859262213345e-01
1.311938300000000009e-02 9.283475933320499696e-01
1.340152000000000010e-02 9.253775887099952024e-01
1.368365799999999959e-02 9.223564929416527836e-01
1.396579499999999960e-02 9.192849307771195910e-01
1.424793199999999961e-02 9.161635110865262721e-01
1.453007000000000083e-02 9.129929930858796672e-01
1.481220700000000084e-02 9.097742218108706425e-01
1.509434400000000086e-02 9.065079274761320693e-01
1.537648099999999914e-02 9.031947452459078152e-01
1.565861899999999862e-02 8.998353227274460409e-01
1.594075600000000037e-02 8.964305057749762939e-01
1.622289299999999865e-02 8.929811542238914601e-01
1.650503000000000040e-02 8.894880621923862973e-01
1.678716800000000162e-02 8.859519194100644590e-01
1.706930499999999989e-02 8.823734738884972950e-01
1.735144200000000164e-02 8.787535549302213367e-01
1.763357999999999939e-02 8.750930219606594118e-01
1.791571700000000114e-02 8.713926864586610810e-01
1.819785399999999942e-02 8.676532278688676714e-01
1.847999100000000117e-02 8.638753716792422210e-01
1.876212899999999892e-02 8.600599841325449191e-01
1.904426600000000067e-02 8.562080076593894251e-01
1.932640299999999894e-02 8.523202585155080779e-01
1.960854000000000069e-02 8.483974832418564871e-01
1.989067799999999844e-02 8.444404509991428887e-01
2.017281500000000019e-02 8.404501196902383064e-01
2.045495199999999847e-02 8.364274284366323142e-01
2.073708900000000022e-02 8.323731416119952708e-01
2.101922700000000144e-02 8.282878431170463962e-01
2.130136399999999972e-02 8.241722487062784763e-01
2.158350100000000146e-02 8.200273375702247236e-01
2.186563899999999921e-02 8.158541406563674103e-01
2.214777600000000096e-02 8.116535707898794305e-01
2.242991299999999924e-02 8.074263670412973326e-01
2.271205000000000099e-02 8.031733053249691112e-01
2.299418799999999874e-02 7.988952213549247450e-01
2.327632500000000049e-02 7.945930052481351424e-01
2.355846199999999876e-02 7.902674372218855270e-01
2.384059900000000051e-02 7.859192662613295743e-01
2.412273700000000173e-02 7.815492759135029832e-01
2.440487400000000001e-02 7.771584299556343334e-01
2.468701099999999829e-02 7.727476552107463981e-01
2.496914899999999951e-02 7.683177353283680011e-01
2.525128600000000126e-02 7.638694081914724210e-01
2.553342299999999954e-02 7.594034249484334920e-01
2.581556000000000128e-02 7.549206978681822777e-01
2.609769799999999904e-02 7.504221297095537979e-01
2.637983500000000078e-02 7.459085228277457791e-01
2.666197199999999906e-02 7.413805448503461015e-01
2.694410900000000081e-02 7.368389420445025095e-01
2.722624699999999856e-02 7.322845793544690007e-01
2.750838400000000031e-02 7.277183755043775681e-01
2.779052099999999859e-02 7.231410941668853232e-01
2.807265899999999981e-02 7.185534426266707575e-01
2.835479600000000155e-02 7.139562241034205226e-01
2.863693299999999983e-02 7.093502837168876862e-01
2.891907000000000158e-02 7.047364708796012289e-01
2.920120799999999933e-02 7.001154422918735021e-01
2.948334500000000108e-02 6.954878208204801071e-01
2.976548199999999936e-02 6.908542926458877131e-01
3.004761900000000110e-02 6.862157541902050850e-01
3.032975699999999886e-02 6.815730789607120643e-01
3.061189400000000060e-02 6.769270095642500040e-01
3.089403099999999888e-02 6.722781625099405467e-01
3.117616900000000010e-02 6.676272061439317840e-01
3.145830599999999838e-02 6.629749391595625152e-01
3.174044300000000013e-02 6.583221009883537533e-01
3.202258000000000188e-02 6.536693424656049300e-01
3.230471800000000310e-02 6.490172588198883652e-01
3.258685499999999791e-02 6.443665640300835218e-01
3.286899199999999965e-02 6.397180198465901579e-01
3.315112900000000140e-02 6.350723865867099471e-01
3.343326700000000262e-02 6.304302676758941626e-01
3.371540399999999743e-02 6.257922691144328642e-01
3.399754099999999918e-02 6.211590165781962769e-01
3.427967900000000040e-02 6.165312234561139970e-01
3.456181600000000215e-02 6.119096216688292289e-01
3.484395299999999696e-02 6.072947134899340238e-01
3.512608999999999870e-02 6.026869659803706369e-01
3.540822799999999992e-02 5.980869585846830816e-01
3.569036500000000167e-02 5.934954674700906319e-01
3.597250200000000342e-02 5.889131831314874388e-01
3.625463899999999823e-02 5.843406134278925634e-01
3.653677699999999945e-02 5.797781995682766976e-01
3.681891400000000120e-02 5.752265449965975330e-01
3.710105100000000294e-02 5.706863229704195462e-01
3.738318799999999775e-02 5.661581687529657625e-01
3.766532599999999897e-02 5.616424654618892287e-01
3.794746300000000072e-02 5.571395935841438884e-01
3.822960000000000247e-02 5.526500463853563083e-01
3.851173799999999675e-02 5.481744689019979466e-01
3.879387499999999850e-02 5.437135108294546271e-01
3.907601200000000025e-02 5.392676018491213696e-01
3.935814900000000199e-02 5.348371525573576424e-01
3.964028700000000321e-02 5.304226117945688435e-01
3.992242399999999802e-02 5.260245212871205167e-01
4.020456099999999977e-02 5.216433459605593903e-01
4.048669800000000152e-02 5.172794676094061295e-01
4.076883600000000274e-02 5.129332382917196620e-01
4.105097299999999755e-02 5.086051327526435184e-01
4.133310999999999930e-02 5.042956385663572849e-01
4.161524800000000052e-02 5.000051911870916355e-01
4.189738500000000226e-02 4.957341193505812593e-01
4.217952199999999707e-02 4.914826894333812479e-01
4.246165899999999882e-02 4.872513130951632854e-01
4.274379700000000004e-02 4.830404778947267053e-01
4.302593400000000179e-02 4.788506477484467672e-01
4.330807099999999660e-02 4.746820638518240432e-01
4.359020799999999835e-02 4.705349623707082429e-01
4.387234599999999957e-02 4.664096525358060741e-01
4.415448300000000131e-02 4.623065426914050313e-01
4.443662000000000306e-02 4.582259663832912167e-01
4.471875799999999734e-02 4.541681852123854446e-01
4.500089499999999909e-02 4.501335006861583721e-01
4.528303200000000084e-02 4.461222384038587840e-01
4.556516900000000259e-02 4.421347760583289599e-01
4.584730699999999687e-02 4.381713674354378862e-01
4.612944399999999862e-02 4.342320825677662421e-01
4.641158100000000036e-02 4.303169545147662034e-01
4.669371800000000211e-02 4.264263163985365090e-01
4.697585600000000333e-02 4.225606336005838237e-01
4.725799299999999814e-02 4.187202762186751914e-01
4.754012999999999989e-02 4.149053194747895912e-01
4.782226800000000111e-02 4.111158260266793985e-01
4.810440500000000286e-02 4.073520097472798085e-01
4.838654199999999767e-02 4.036140949497404873e-01
4.866867899999999941e-02 3.999022697736880350e-01
4.895081700000000063e-02 3.962166262264874006e-01
4.923295400000000238e-02 3.925573011307136873e-01
4.951509099999999719e-02 3.889244842478122854e-01
4.979722799999999894e-02 3.853184153643394727e-01
5.007936600000000016e-02 3.817392379139148972e-01
5.036150300000000191e-02 3.781870072359663215e-01
5.064363999999999671e-02 3.746617523536777128e-01
5.092577799999999794e-02 3.711636369740697883e-01
5.120791499999999968e-02 3.676929095279135029e-01
5.149005200000000143e-02 3.642496658895111872e-01
5.177218900000000318e-02 3.608338573929866233e-01
5.205432699999999746e-02 3.574454407394605515e-01
5.233646399999999921e-02 3.540845624331060426e-01
5.261860100000000096e-02 3.507513817396889499e-01
5.290073800000000270e-02 3.474459762442463351e-01
5.318287599999999699e-02 3.441682964910624531e-01
5.346501299999999873e-02 3.409183468185006949e-01
5.374715000000000048e-02 3.376962219715983760e-01
5.402928800000000170e-02 3.345020497307566454e-01
5.431142500000000345e-02 3.313358530185280815e-01
5.459356199999999826e-02 3.281974659850392939e-01
5.487569900000000001e-02 3.250867743978604896e-01
5.515783700000000123e-02 3.220038603445601888e-01
5.543997400000000297e-02 3.189488899330562566e-01
5.572211099999999778e-02 3.159218985534085200e-01
5.600424799999999953e-02 3.129228336885416240e-01
5.628638600000000075e-02 3.099516216182541806e-01
5.656852300000000250e-02 3.070081959130318006e-01
5.685065999999999731e-02 3.040924545164318538e-01
5.713279699999999905e-02 3.012043416350966285e-01
5.741493500000000028e-02 2.983438240394958307e-01
5.769707200000000202e-02 2.955109013873016277e-01
5.797920899999999683e-02 2.927055473663661145e-01
5.826134699999999805e-02 2.899277313248909693e-01
5.854348399999999980e-02 2.871773567164342400e-01
5.882562100000000155e-02 2.844542183871763830e-01
5.910775800000000330e-02 2.817581722129176569e-01
5.938989599999999758e-02 2.790892280348352683e-01
5.967203299999999933e-02 2.764474439411340190e-01
5.995417000000000107e-02 2.738326890627606480e-01
6.023630700000000282e-02 2.712447216926567317e-01
6.051844499999999710e-02 2.686833538058880921e-01
6.080058199999999885e-02 2.661486039779582535e-01
6.108271900000000060e-02 2.636404793440296768e-01
6.136485700000000182e-02 2.611588062282411693e-01
6.164699399999999663e-02 2.587033146146405227e-01
6.192913099999999837e-02 2.562738067202838810e-01
6.221126800000000012e-02 2.538703412802140180e-01
6.249340600000000134e-02 2.514929752394495788e-01
6.277554300000000309e-02 2.491414574655022307e-01
6.305768000000000484e-02 2.468153079727360699e-01
6.333981700000000659e-02 2.445142389492874768e-01
6.362195499999999393e-02 2.422383658866233691e-01
6.390409199999999568e-02 2.399878473099026077e-01
6.418622899999999742e-02 2.377624748216507489e-01
6.446836699999999865e-02 2.355618515307826843e-01
6.475050400000000039e-02 2.333857206755199920e-01
6.503264100000000214e-02 2.312340376801364505e-01
6.531477800000000389e-02 2.291067730949402637e-01
6.559691600000000511e-02 2.270037182612492099e-01
6.587905300000000686e-02 2.249246017135257958e-01
6.616118999999999473e-02 2.228691868712109891e-01
6.644332699999999647e-02 2.208373482378567787e-01
6.672546499999999770e-02 2.188289553813089483e-01
6.700760199999999944e-02 2.168438354086753006e-01
6.728973900000000119e-02 2.148817657062889463e-01
6.757187700000000241e-02 2.129425459537714060e-01
6.785401400000000416e-02 2.110260320982884630e-01
6.813615100000000591e-02 2.091320542281304429e-01
6.841828799999999378e-02 2.072603938653595490e-01
