# q  I_recon
3.245493999999999810e-03 9.947591594445650554e-01
3.527709999999999874e-03 9.938121521396875435e-01
3.809926999999999845e-03 9.927876471190364427e-01
4.092143999999999816e-03 9.916859587506510199e-01
4.374361000000000221e-03 9.905074035755312423e-01
4.656577999999999759e-03 9.892523730948050709e-01
4.938795000000000164e-03 9.879213138623095247e-01
5.221011000000000228e-03 9.865146769113687375e-01
5.503227999999999766e-03 9.850328930987201081e-01
5.785445000000000171e-03 9.834764126817997498e-01
6.067661999999999708e-03 9.818457462980775263e-01
6.349879000000000114e-03 9.801414477281497062e-01
6.632095999999999651e-03 9.783640631005446897e-01
6.914311999999999715e-03 9.765141251634629205e-01
7.196529000000000120e-03 9.745921536279146258e-01
7.478745999999999658e-03 9.725987889644097661e-01
7.760963000000000063e-03 9.705347253845280076e-01
8.043180000000000468e-03 9.684006346208472449e-01
8.325397000000000006e-03 9.661971387346752760e-01
8.607613999999999543e-03 9.639248649215972353e-01
8.889829999999999607e-03 9.615845539706687761e-01
9.172046999999999145e-03 9.591769777534164820e-01
9.454264000000000417e-03 9.567029052562807667e-01
9.736480999999999955e-03 9.541630433528762723e-01
1.001869799999999949e-02 9.515581052156036890e-01
1.030091500000000077e-02 9.488889033150422758e-01
1.058313100000000083e-02 9.461563074238867888e-01
1.086534800000000037e-02 9.433611406444694092e-01
1.114756499999999990e-02 9.405042243783451328e-01
1.142978199999999944e-02 9.375863800150725513e-01
1.171199900000000071e-02 9.346085178168159757e-01
1.199421600000000025e-02 9.315715853001881319e-01
1.227643200000000032e-02 9.284764802787468518e-01
1.255864899999999985e-02 9.253239732596822975e-01
1.284086599999999939e-02 9.221148899370708030e-01
1.312308300000000066e-02 9.188502354134848726e-01
1.340530000000000020e-02 9.155310861207901496e-01
1.368751699999999974e-02 9.121584292486764056e-01
1.396973299999999980e-02 9.087331395532111111e-01
1.425194999999999934e-02 9.052560732368718499e-01
1.453416700000000061e-02 9.017282732446586513e-01
1.481638400000000015e-02 8.981508198807157672e-01
1.509860099999999969e-02 8.945247101654886235e-01
1.538081799999999923e-02 8.908508363388721873e-01
1.566303399999999929e-02 8.871301298120634060e-01
1.594525100000000056e-02 8.833636421932847815e-01
1.622746799999999837e-02 8.795525107211856763e-01
1.650968499999999964e-02 8.756977780101118380e-01
1.679190200000000091e-02 8.718003941743435181e-01
1.707411899999999871e-02 8.678613308673820415e-01
1.735633500000000051e-02 8.638816896028554959e-01
1.763855199999999832e-02 8.598625571763901521e-01
1.792076899999999959e-02 8.558049699618989203e-01
1.820298600000000086e-02 8.517098554288010659e-01
1.848520299999999866e-02 8.475781753229013615e-01
1.876741999999999994e-02 8.434110408852714125e-01
1.904963600000000173e-02 8.392096098025125794e-01
1.933185299999999954e-02 8.349749007120973454e-01
1.961407000000000081e-02 8.307078896878956620e-01
1.989628699999999861e-02 8.264095758449007123e-01
2.017850399999999988e-02 8.220811000622789688e-01
2.046072100000000116e-02 8.177236220296574265e-01
2.074293799999999896e-02 8.133381033198318066e-01
2.102515400000000076e-02 8.089253560157125822e-01
2.130737099999999856e-02 8.044862359969060517e-01
2.158958799999999983e-02 8.000219399112484808e-01
2.187180500000000111e-02 7.955336930955173580e-01
2.215402199999999891e-02 7.910225489981919100e-01
2.243623900000000018e-02 7.864894318045136945e-01
2.271845499999999851e-02 7.819353031948039767e-01
2.300067199999999978e-02 7.773611433624210143e-01
2.328288900000000106e-02 7.727679862681539058e-01
2.356510599999999886e-02 7.681567756226914678e-01
2.384732300000000013e-02 7.635284050146788903e-01
2.412954000000000140e-02 7.588838171412931599e-01
2.441175599999999973e-02 7.542240936026598508e-01
2.469397300000000101e-02 7.495502706323725617e-01
2.497618999999999881e-02 7.448632812040409945e-01
2.525840700000000008e-02 7.401639488618703133e-01
2.554062400000000135e-02 7.354531565364235135e-01
2.582284099999999916e-02 7.307319200171236151e-01
2.610505700000000096e-02 7.260012726654957449e-01
2.638727399999999876e-02 7.212620394583855177e-01
2.666949100000000003e-02 7.165150093687504551e-01
2.695170800000000130e-02 7.117610159626409638e-01
2.723392499999999911e-02 7.070010149313661341e-01
2.751614200000000038e-02 7.022359621104116156e-01
2.779835799999999871e-02 6.974667141009389670e-01
2.808057499999999998e-02 6.926940200695881344e-01
2.836279200000000125e-02 6.879187242903791466e-01
2.864500899999999906e-02 6.831417331478751853e-01
2.892722600000000033e-02 6.783639356633499595e-01
2.920944300000000160e-02 6.735860361286105658e-01
2.949165899999999993e-02 6.688086759094296063e-01
2.977387600000000120e-02 6.640325574200068859e-01
3.005609299999999900e-02 6.592586117833056925e-01
3.033831000000000028e-02 6.544877397289456944e-01
3.062052700000000155e-02 6.497206541826640036e-01
3.090274399999999935e-02 6.449579948539494456e-01
3.118496000000000115e-02 6.402004673345161878e-01
3.146717699999999895e-02 6.354487969496680488e-01
3.174939400000000023e-02 6.307037450969960046e-01
3.203161100000000150e-02 6.259659431045514477e-01
3.231382800000000277e-02 6.212359841161435581e-01
3.259604499999999710e-02 6.165145286677050640e-01
3.287826099999999890e-02 6.118023408136187280e-01
3.316047800000000018e-02 6.071001114038950819e-01
3.344269500000000145e-02 6.024084358565072739e-01
3.372491200000000272e-02 5.977278492342761318e-01
3.400712899999999705e-02 5.930589521893613325e-01
3.428934599999999833e-02 5.884024215863339347e-01
3.457156200000000013e-02 5.837589141791346137e-01
3.485377900000000140e-02 5.791288545092312390e-01
3.513599600000000267e-02 5.745126704226822811e-01
3.541821299999999700e-02 5.699109014622587566e-01
3.570042999999999828e-02 5.653242215503841983e-01
3.598264699999999955e-02 5.607532605230748368e-01
3.626486400000000082e-02 5.561984473830179354e-01
3.654708000000000262e-02 5.516601825945732784e-01
3.682929699999999695e-02 5.471389308763695558e-01
3.711151399999999823e-02 5.426353116438259461e-01
3.739373099999999950e-02 5.381498664824186928e-01
3.767594800000000077e-02 5.336829036917796198e-01
3.795816500000000204e-02 5.292346890899327638e-01
3.824038099999999690e-02 5.248056644454379693e-01
3.852259799999999818e-02 5.203963613446239700e-01
3.880481499999999945e-02 5.160073087627571331e-01
3.908703200000000072e-02 5.116388494223235162e-01
3.936924900000000199e-02 5.072912960872513199e-01
3.965146600000000326e-02 5.029650145383334214e-01
3.993368199999999812e-02 4.986604265707078598e-01
4.021589899999999940e-02 4.943778740323580001e-01
4.049811600000000067e-02 4.901176454919890513e-01
4.078033300000000194e-02 4.858800029174181190e-01
4.106255000000000321e-02 4.816652849439801432e-01
4.134476699999999755e-02 4.774738832979132930e-01
4.162698299999999935e-02 4.733061464528935391e-01
4.190920000000000062e-02 4.691622305095082823e-01
4.219141700000000189e-02 4.650423247021343576e-01
4.247363400000000316e-02 4.609467331848978167e-01
4.275585099999999750e-02 4.568758409053549907e-01
4.303806799999999877e-02 4.528299585579299569e-01
4.332028400000000057e-02 4.488092416051812084e-01
4.360250100000000184e-02 4.448137887165384274e-01
4.388471800000000311e-02 4.408438286225472291e-01
4.416693499999999745e-02 4.368996246145808726e-01
4.444915199999999872e-02 4.329814061488385102e-01
4.473136899999999999e-02 4.290893335041403023e-01
4.501358500000000179e-02 4.252235802060608805e-01
4.529580200000000306e-02 4.213843458595892266e-01
4.557801899999999740e-02 4.175719039051589143e-01
4.586023599999999867e-02 4.137863984103152259e-01
4.614245299999999994e-02 4.100277640624293563e-01
4.642467000000000121e-02 4.062959511069719754e-01
4.670688600000000301e-02 4.025912039707094103e-01
4.698910299999999735e-02 3.989138530288880435e-01
4.727131999999999862e-02 3.952641254698349704e-01
4.755353699999999989e-02 3.916420025502085900e-01
4.783575400000000116e-02 3.880474606972572627e-01
4.811797100000000244e-02 3.844805853328140954e-01
4.840018699999999729e-02 3.809415175894153571e-01
4.868240399999999857e-02 3.774303101937517280e-01
4.896462099999999984e-02 3.739469789834816704e-01
4.924683800000000111e-02 3.704915367502080170e-01
4.952905500000000238e-02 3.670640867029710819e-01
4.981127199999999672e-02 3.636647626778836129e-01
5.009348799999999852e-02 3.602936246017089394e-01
5.037570499999999979e-02 3.569505834003608435e-01
5.065792200000000106e-02 3.536356035345285531e-01
5.094013900000000233e-02 3.503487690938140164e-01
5.122235599999999667e-02 3.470902030370313640e-01
5.150457299999999794e-02 3.438599108000018334e-01
5.178678999999999921e-02 3.406577579957499879e-01
5.206900600000000101e-02 3.374836456342856228e-01
5.235122300000000228e-02 3.343375899844966415e-01
5.263343999999999662e-02 3.312196803647146082e-01
5.291565699999999789e-02 3.281299009384550103e-01
5.319787399999999916e-02 3.250681351109271922e-01
5.348009100000000043e-02 3.220342906212042000e-01
5.376230700000000223e-02 3.190284056665470547e-01
5.404452399999999657e-02 3.160505108026995247e-01
5.432674099999999784e-02 3.131005297118668596e-01
5.460895799999999911e-02 3.101782408171858685e-01
5.489117500000000038e-02 3.072834714277156709e-01
5.517339200000000166e-02 3.044162467429922247e-01
5.545560800000000345e-02 3.015766416315240894e-01
5.573782499999999779e-02 2.987646036005456862e-01
5.602004199999999906e-02 2.959800253691511340e-01
