# q  I_recon
3.245493999999999810e-03 9.950575455160459715e-01
3.527709999999999874e-03 9.941641922038876311e-01
3.809926999999999845e-03 9.931976426175473938e-01
4.092143999999999816e-03 9.921581695293748560e-01
4.374361000000000221e-03 9.910460468997401851e-01
4.656577999999999759e-03 9.898616199196808019e-01
4.938795000000000164e-03 9.886052860909603224e-01
5.221011000000000228e-03 9.872774453692932939e-01
5.503227999999999766e-03 9.858784739127244290e-01
5.785445000000000171e-03 9.844087654308532054e-01
6.067661999999999708e-03 9.828687708835328607e-01
6.349879000000000114e-03 9.812589821162528425e-01
6.632095999999999651e-03 9.795798815163986317e-01
6.914311999999999715e-03 9.778319335162616310e-01
7.196529000000000120e-03 9.760155897493780763e-01
7.478745999999999658e-03 9.741314190268801632e-01
7.760963000000000063e-03 9.721800427533752176e-01
8.043180000000000468e-03 9.701620579634454566e-01
8.325397000000000006e-03 9.680780080282013200e-01
8.607613999999999543e-03 9.659284407277999307e-01
8.889829999999999607e-03 9.637140150453155085e-01
9.172046999999999145e-03 9.614354213382250158e-01
9.454264000000000417e-03 9.590933441778001223e-01
9.736480999999999955e-03 9.566884034797636938e-01
1.001869799999999949e-02 9.542212248940893371e-01
1.030091500000000077e-02 9.516925315427042786e-01
1.058313100000000083e-02 9.491031024473608468e-01
1.086534800000000037e-02 9.464536704573198733e-01
1.114756499999999990e-02 9.437449634435811641e-01
1.142978199999999944e-02 9.409777093889913901e-01
1.171199900000000071e-02 9.381527237015258036e-01
1.199421600000000025e-02 9.352708584065947406e-01
1.227643200000000032e-02 9.323329144542088498e-01
1.255864899999999985e-02 9.293395659095232686e-01
1.284086599999999939e-02 9.262915401704647778e-01
1.312308300000000066e-02 9.231897441020324724e-01
1.340530000000000020e-02 9.200351557069277320e-01
1.368751699999999974e-02 9.168286636976847870e-01
1.396973299999999980e-02 9.135710436901572917e-01
1.425194999999999934e-02 9.102630543299564669e-01
1.453416700000000061e-02 9.069056381359353880e-01
1.481638400000000015e-02 9.034997752216036293e-01
1.509860099999999969e-02 9.000463630789597991e-01
1.538081799999999923e-02 8.965461952524609313e-01
1.566303399999999929e-02 8.930001039338046898e-01
1.594525100000000056e-02 8.894090435816386364e-01
1.622746799999999837e-02 8.857740525309610868e-01
1.650968499999999964e-02 8.820960761577055775e-01
1.679190200000000091e-02 8.783759685266337991e-01
1.707411899999999871e-02 8.746146053589468616e-01
1.735633500000000051e-02 8.708129918353197940e-01
1.763855199999999832e-02 8.669721204413985971e-01
1.792076899999999959e-02 8.630929329576080278e-01
1.820298600000000086e-02 8.591762645373073326e-01
1.848520299999999866e-02 8.552229848858572403e-01
1.876741999999999994e-02 8.512341139826501424e-01
1.904963600000000173e-02 8.472107179427728063e-01
1.933185299999999954e-02 8.431537283680583528e-01
1.961407000000000081e-02 8.390640348466775755e-01
1.989628699999999861e-02 8.349425511071363326e-01
2.017850399999999988e-02 8.307903339380851016e-01
2.046072100000000116e-02 8.266084592704838752e-01
2.074293799999999896e-02 8.223978058160601456e-01
2.102515400000000076e-02 8.181591029308865615e-01
2.130737099999999856e-02 8.138931272944310846e-01
2.158958799999999983e-02 8.096009995794498648e-01
2.187180500000000111e-02 8.052838707941256668e-01
2.215402199999999891e-02 8.009427208972275114e-01
2.243623900000000018e-02 7.965784012169419004e-01
2.271845499999999851e-02 7.921918010754347428e-01
2.300067199999999978e-02 7.877838330268654987e-01
2.328288900000000106e-02 7.833554623220431168e-01
2.356510599999999886e-02 7.789075672251981608e-01
2.384732300000000013e-02 7.744409776909214616e-01
2.412954000000000140e-02 7.699565740739439113e-01
2.441175599999999973e-02 7.654553781462476447e-01
2.469397300000000101e-02 7.609383686372489519e-01
2.497618999999999881e-02 7.564064212795726938e-01
2.525840700000000008e-02 7.518603041412180721e-01
2.554062400000000135e-02 7.473008464023104258e-01
2.582284099999999916e-02 7.427290138407601772e-01
2.610505700000000096e-02 7.381457900852427256e-01
2.638727399999999876e-02 7.335519547947405572e-01
2.666949100000000003e-02 7.289482516253025235e-01
2.695170800000000130e-02 7.243354702066352457e-01
2.723392499999999911e-02 7.197145239391707916e-01
2.751614200000000038e-02 7.150863270737987110e-01
2.779835799999999871e-02 7.104516984059443541e-01
2.808057499999999998e-02 7.058113528315717033e-01
2.836279200000000125e-02 7.011661000075192218e-01
2.864500899999999906e-02 6.965168140752604486e-01
2.892722600000000033e-02 6.918643524161769420e-01
2.920944300000000160e-02 6.872093906649072714e-01
2.949165899999999993e-02 6.825525424475822334e-01
2.977387600000000120e-02 6.778944851575614550e-01
3.005609299999999900e-02 6.732361258890429134e-01
3.033831000000000028e-02 6.685783424618257920e-01
3.062052700000000155e-02 6.639218280096992331e-01
3.090274399999999935e-02 6.592672037058291412e-01
3.118496000000000115e-02 6.546151573753015152e-01
3.146717699999999895e-02 6.499663993159235931e-01
3.174939400000000023e-02 6.453216755271007354e-01
3.203161100000000150e-02 6.406816059021925858e-01
3.231382800000000277e-02 6.360467734430274023e-01
3.259604499999999710e-02 6.314178295862593604e-01
3.287826099999999890e-02 6.267955303139080003e-01
3.316047800000000018e-02 6.221805598268161930e-01
3.344269500000000145e-02 6.175735078693820324e-01
3.372491200000000272e-02 6.129749048348637208e-01
3.400712899999999705e-02 6.083853489082838850e-01
3.428934599999999833e-02 6.038055170452917286e-01
3.457156200000000013e-02 5.992360661919310383e-01
3.485377900000000140e-02 5.946774228285337527e-01
3.513599600000000267e-02 5.901300162866532917e-01
3.541821299999999700e-02 5.855943895837764090e-01
