# q  I_recon
3.245493999999999810e-03 9.947744440219689066e-01
3.527709999999999874e-03 9.938301859210184608e-01
3.809926999999999845e-03 9.928086508246281028e-01
4.092143999999999816e-03 9.917101510429870981e-01
4.374361000000000221e-03 9.905350010147775386e-01
4.656577999999999759e-03 9.892835899975009895e-01
4.938795000000000164e-03 9.879563621974323251e-01
5.221011000000000228e-03 9.865537661993495355e-01
5.503227999999999766e-03 9.850762302313509355e-01
5.785445000000000171e-03 9.835242018341511239e-01
6.067661999999999708e-03 9.818981888401562275e-01
6.349879000000000114e-03 9.801987421567227576e-01
6.632095999999999651e-03 9.784264049369004734e-01
6.914311999999999715e-03 9.765817066936109958e-01
7.196529000000000120e-03 9.746651639234809039e-01
7.478745999999999658e-03 9.726774138257591185e-01
7.760963000000000063e-03 9.706191473578259510e-01
8.043180000000000468e-03 9.684910329311806620e-01
8.325397000000000006e-03 9.662936891435894848e-01
8.607613999999999543e-03 9.640277396900724938e-01
8.889829999999999607e-03 9.616939216653663802e-01
9.172046999999999145e-03 9.592930032254857187e-01
9.454264000000000417e-03 9.568257496644182458e-01
9.736480999999999955e-03 9.542928643632491159e-01
1.001869799999999949e-02 9.516950569934866655e-01
1.030091500000000077e-02 9.490331362964630202e-01
1.058313100000000083e-02 9.463079681798319820e-01
1.086534800000000037e-02 9.435203719925819854e-01
1.114756499999999990e-02 9.406711653613414326e-01
1.142978199999999944e-02 9.377611659340735484e-01
1.171199900000000071e-02 9.347912802426627810e-01
1.199421600000000025e-02 9.317624520802955113e-01
1.227643200000000032e-02 9.286755756255380412e-01
1.255864899999999985e-02 9.255314180203694230e-01
1.284086599999999939e-02 9.223308014784242781e-01
1.312308300000000066e-02 9.190747273785587756e-01
1.340530000000000020e-02 9.157642683310532883e-01
1.368751699999999974e-02 9.124004080288653507e-01
1.396973299999999980e-02 9.089840181528755503e-01
1.425194999999999934e-02 9.055159519048777694e-01
1.453416700000000061e-02 9.019972488361798213e-01
1.481638400000000015e-02 8.984289857918966726e-01
1.509860099999999969e-02 8.948121565444668857e-01
1.538081799999999923e-02 8.911476503512029135e-01
1.566303399999999929e-02 8.874363956345951987e-01
1.594525100000000056e-02 8.836794411669564031e-01
1.622746799999999837e-02 8.798779212757423807e-01
1.650968499999999964e-02 8.760328759601422322e-01
1.679190200000000091e-02 8.721452530173962048e-01
1.707411899999999871e-02 8.682160217386799550e-01
1.735633500000000051e-02 8.642462809722908368e-01
1.763855199999999832e-02 8.602371148985603622e-01
1.792076899999999959e-02 8.561895575909830303e-01
1.820298600000000086e-02 8.521045346836968459e-01
1.848520299999999866e-02 8.479830060376711831e-01
1.876741999999999994e-02 8.438260807413765496e-01
1.904963600000000173e-02 8.396349142518758635e-01
1.933185299999999954e-02 8.354105235757630643e-01
1.961407000000000081e-02 8.311538834992887592e-01
1.989628699999999861e-02 8.268659918513111551e-01
2.017850399999999988e-02 8.225479880467163607e-01
2.046072100000000116e-02 8.182010302757588560e-01
2.074293799999999896e-02 8.138260786699424987e-01
2.102515400000000076e-02 8.094239438814528897e-01
2.130737099999999856e-02 8.049954806411604435e-01
2.158958799999999983e-02 8.005418848493379702e-01
2.187180500000000111e-02 7.960643812248244799e-01
2.215402199999999891e-02 7.915640225093319993e-01
2.243623900000000018e-02 7.870417321145349865e-01
2.271845499999999851e-02 7.824984708833596647e-01
2.300067199999999978e-02 7.779352182227726731e-01
2.328288900000000106e-02 7.733530072213711248e-01
2.356510599999999886e-02 7.687527812611243405e-01
2.384732300000000013e-02 7.641354339441509547e-01
2.412954000000000140e-02 7.595019078685756320e-01
2.441175599999999973e-02 7.548532842052608771e-01
2.469397300000000101e-02 7.501905988352176591e-01
2.497618999999999881e-02 7.455147842853854234e-01
2.525840700000000008e-02 7.408266637077284278e-01
2.554062400000000135e-02 7.361271197720983261e-01
2.582284099999999916e-02 7.314171682944691222e-01
2.610505700000000096e-02 7.266978426568974081e-01
2.638727399999999876e-02 7.219699679407568516e-01
2.666949100000000003e-02 7.172343330826147501e-01
2.695170800000000130e-02 7.124917715732310697e-01
2.723392499999999911e-02 7.077432388741187186e-01
2.751614200000000038e-02 7.029896905637195159e-01
2.779835799999999871e-02 6.982319828687831853e-01
2.808057499999999998e-02 6.934708646696727818e-01
2.836279200000000125e-02 6.887071800992577986e-01
2.864500899999999906e-02 6.839418359142604986e-01
2.892722600000000033e-02 6.791757214672217158e-01
2.920944300000000160e-02 6.744095407342652893e-01
2.949165899999999993e-02 6.696439344371191149e-01
2.977387600000000120e-02 6.648796044196438881e-01
3.005609299999999900e-02 6.601174810301826401e-01
3.033831000000000028e-02 6.553584643209312555e-01
3.062052700000000155e-02 6.506032669428912785e-01
3.090274399999999935e-02 6.458525284827917323e-01
3.118496000000000115e-02 6.411069540204888950e-01
3.146717699999999895e-02 6.363672680008050087e-01
3.174939400000000023e-02 6.316342307790082655e-01
3.203161100000000150e-02 6.269084727016547287e-01
3.231382800000000277e-02 6.221905859376810621e-01
3.259604499999999710e-02 6.174812300528653708e-01
3.287826099999999890e-02 6.127811680943427985e-01
3.316047800000000018e-02 6.080910899041219730e-01
3.344269500000000145e-02 6.034115891066970105e-01
3.372491200000000272e-02 5.987431988195653920e-01
3.400712899999999705e-02 5.940865181082479740e-01
3.428934599999999833e-02 5.894422226675201104e-01
3.457156200000000013e-02 5.848109678520081456e-01
3.485377900000000140e-02 5.801931759958420809e-01
3.513599600000000267e-02 5.755892723615275708e-01
3.541821299999999700e-02 5.709997943691953459e-01
3.570042999999999828e-02 5.664254142563545091e-01
3.598264699999999955e-02 5.618667599427313863e-01
3.626486400000000082e-02 5.573242575107884011e-01
3.654708000000000262e-02 5.527983042272132108e-01
3.682929699999999695e-02 5.482893620766410292e-01
3.711151399999999823e-02 5.437980479245876353e-01
3.739373099999999950e-02 5.393249007769139736e-01
3.767594800000000077e-02 5.348702260502201655e-01
3.795816500000000204e-02 5.304342865908898697e-01
3.824038099999999690e-02 5.260175207733408520e-01
3.852259799999999818e-02 5.216204565963976636e-01
3.880481499999999945e-02 5.172436193794093251e-01
3.908703200000000072e-02 5.128873484603582167e-01
3.936924900000000199e-02 5.085519532394163766e-01
3.965146600000000326e-02 5.042377957737692595e-01
3.993368199999999812e-02 4.999452938150810155e-01
4.021589899999999940e-02 4.956747853372576174e-01
4.049811600000000067e-02 4.914265550415904960e-01
4.078033300000000194e-02 4.872008610562289510e-01
4.106255000000000321e-02 4.829980376781164986e-01
4.134476699999999755e-02 4.788184719494388841e-01
4.162698299999999935e-02 4.746625078566476530e-01
4.190920000000000062e-02 4.705302977537203502e-01
4.219141700000000189e-02 4.664220270432063442e-01
4.247363400000000316e-02 4.623379954774310963e-01
4.275585099999999750e-02 4.582785832197165399e-01
4.303806799999999877e-02 4.542440962344944100e-01
4.332028400000000057e-02 4.502346853492523171e-01
4.360250100000000184e-02 4.462504447366296700e-01
4.388471800000000311e-02 4.422915985088746726e-01
4.416693499999999745e-02 4.383584053783625700e-01
4.444915199999999872e-02 4.344510901920468071e-01
4.473136899999999999e-02 4.305698085585356050e-01
4.501358500000000179e-02 4.267147293090091109e-01
4.529580200000000306e-02 4.228860476439876281e-01
4.557801899999999740e-02 4.190840325725809778e-01
4.586023599999999867e-02 4.153088235494566960e-01
4.614245299999999994e-02 4.115603502510277734e-01
4.642467000000000121e-02 4.078385579572817998e-01
4.670688600000000301e-02 4.041436867479722972e-01
4.698910299999999735e-02 4.004760630489454520e-01
4.727131999999999862e-02 3.968359097775491229e-01
4.755353699999999989e-02 3.932232036009445375e-01
4.783575400000000116e-02 3.896379163950400293e-01
4.811797100000000244e-02 3.860801294967566855e-01
4.840018699999999729e-02 3.825499801083292462e-01
4.868240399999999857e-02 3.790475169538487510e-01
4.896462099999999984e-02 3.755727515284421614e-01
4.924683800000000111e-02 3.721256923890613466e-01
4.952905500000000238e-02 3.687064390683321147e-01
4.981127199999999672e-02 3.653151219247278148e-01
5.009348799999999852e-02 3.619517972414229012e-01
5.037570499999999979e-02 3.586163722002868592e-01
5.065792200000000106e-02 3.553088075604664553e-01
5.094013900000000233e-02 3.520291844557028038e-01
5.122235599999999667e-02 3.487776231096618718e-01
5.150457299999999794e-02 3.455541258650449699e-01
5.178678999999999921e-02 3.423585548158086245e-01
5.206900600000000101e-02 3.391908076389678062e-01
5.235122300000000228e-02 3.360508984110724962e-01
5.263343999999999662e-02 3.329389144849570492e-01
5.291565699999999789e-02 3.298548377205443027e-01
5.319787399999999916e-02 3.267985488318909670e-01
5.348009100000000043e-02 3.237699530205372933e-01
5.376230700000000223e-02 3.207690866355847326e-01
5.404452399999999657e-02 3.177959786211043136e-01
5.432674099999999784e-02 3.148505510557605414e-01
5.460895799999999911e-02 3.119325808372745423e-01
5.489117500000000038e-02 3.090418938282812333e-01
5.517339200000000166e-02 3.061785140602125699e-01
5.545560800000000345e-02 3.033425153001913510e-01
5.573782499999999779e-02 3.005338442816940514e-01
5.602004199999999906e-02 2.977523931646106625e-01
5.630225900000000033e-02 2.949980345141286486e-01
5.658447600000000161e-02 2.922706194089527143e-01
5.686669300000000288e-02 2.895699970858995331e-01
5.714890899999999774e-02 2.868960649798346085e-01
5.743112599999999901e-02 2.842487227388769133e-01
5.771334300000000028e-02 2.816279016224123022e-01
5.799556000000000155e-02 2.790335300255836759e-01
5.827777700000000283e-02 2.764655304608712449e-01
5.855999399999999716e-02 2.739237311723461410e-01
5.884220999999999896e-02 2.714079023494945231e-01
5.912442700000000023e-02 2.689178463526616381e-01
5.940664400000000150e-02 2.664535475488032379e-01
5.968886100000000278e-02 2.640149920618819479e-01
5.997107799999999711e-02 2.616020057392997589e-01
6.025329499999999838e-02 2.592143120229873920e-01
6.053551100000000018e-02 2.568517146085346203e-01
6.081772800000000145e-02 2.545141615781220668e-01
6.109994500000000273e-02 2.522016320801039324e-01
6.138216199999999706e-02 2.499139178860543264e-01
6.166437899999999833e-02 2.476507083112720886e-01
6.194659599999999960e-02 2.454118023880170474e-01
6.222881200000000140e-02 2.431972358622135899e-01
6.251102899999999574e-02 2.410070116961836040e-01
6.279324599999999701e-02 2.388408270753085427e-01
6.307546299999999828e-02 2.366982026535852379e-01
6.335767999999999955e-02 2.345788619559542043e-01
6.363989700000000083e-02 2.324829068625843820e-01
6.392211300000000263e-02 2.304104436737569872e-01
6.420433000000000390e-02 2.283612185216142842e-01
6.448654700000000517e-02 2.263348442054910203e-01
6.476876400000000644e-02 2.243310547350988171e-01
6.505098099999999384e-02 2.223497996637502638e-01
6.533319799999999511e-02 2.203910242755886539e-01
6.561541399999999691e-02 2.184545130343293895e-01
6.589763099999999818e-02 2.165399612510593708e-01
6.617984799999999945e-02 2.146471482983699497e-01
6.646206500000000073e-02 2.127759420683953406e-01
6.674428200000000200e-02 2.109262080733222411e-01
6.702649900000000327e-02 2.090977503932665016e-01
6.730871600000000454e-02 2.072903508341700229e-01
6.759093200000000634e-02 2.055038219037805536e-01
6.787314899999999374e-02 2.037379901737615129e-01
6.815536599999999501e-02 2.019926939424629420e-01
6.843758299999999628e-02 2.002677137722345679e-01
6.871979999999999755e-02 1.985628144477975254e-01
6.900201699999999883e-02 1.968778035222759626e-01
6.928423300000000062e-02 1.952125465243874369e-01
6.956645000000000190e-02 1.935668763364988554e-01
6.984866700000000317e-02 1.919405577772498039e-01
7.013088400000000444e-02 1.903333268183118321e-01
7.041310100000000571e-02 1.887449863525361149e-01
7.069531799999999311e-02 1.871754128340057943e-01
7.097753399999999491e-02 1.856244669322022200e-01
7.125975099999999618e-02 1.840918876870167031e-01
7.154196799999999745e-02 1.825774067027786940e-01
7.182418499999999872e-02 1.810808335194674379e-01
7.210640200000000000e-02 1.796020604805017573e-01
7.238861900000000127e-02 1.781409547400788218e-01
7.267083500000000307e-02 1.766972811432537260e-01
7.295305200000000434e-02 1.752707679138321428e-01
7.323526900000000561e-02 1.738612303927554170e-01
7.351748600000000688e-02 1.724685430071934700e-01
7.379970299999999428e-02 1.710925525679540538e-01
7.408191999999999555e-02 1.697330065480856798e-01
7.436413599999999735e-02 1.683896425229046145e-01
7.464635299999999862e-02 1.670622802205259105e-01
7.492856999999999990e-02 1.657508315255776243e-01
7.521078700000000117e-02 1.644551542737837102e-01
7.549300400000000244e-02 1.631749538617271178e-01
7.577522100000000371e-02 1.619099204959208449e-01
7.605743700000000551e-02 1.606599265384588415e-01
7.633965400000000678e-02 1.594249604064588155e-01
7.662187099999999418e-02 1.582049246755167227e-01
7.690408799999999545e-02 1.569994477640739849e-01
7.718630499999999672e-02 1.558081363805221553e-01
7.746852199999999800e-02 1.546308628462224610e-01
7.775073799999999979e-02 1.534676775609677968e-01
7.803295500000000107e-02 1.523185134237620975e-01
7.831517200000000234e-02 1.511830601634507887e-01
7.859738900000000361e-02 1.500609839984532734e-01
7.887960600000000488e-02 1.489521323661595620e-01
7.916182300000000616e-02 1.478564593495457768e-01
7.944403899999999408e-02 1.467738517701108192e-01
7.972625599999999535e-02 1.457040316650414224e-01
8.000847299999999662e-02 1.446467263490341382e-01
8.029068999999999789e-02 1.436017790557827800e-01
8.057290699999999917e-02 1.425690963322672200e-01
8.085512400000000044e-02 1.415485518505723017e-01
8.113734000000000224e-02 1.405399593174781192e-01
8.141955700000000351e-02 1.395431197803604084e-01
8.170177400000000478e-02 1.385578858033333638e-01
8.198399100000000606e-02 1.375841254639880162e-01
8.226620799999999345e-02 1.366216812814887160e-01
8.254842499999999472e-02 1.356703519677971981e-01
8.283064099999999652e-02 1.347299429024476636e-01
8.311285799999999779e-02 1.338003028806476202e-01
8.339507499999999907e-02 1.328813132883296111e-01
8.367729200000000034e-02 1.319728392685008689e-01
8.395950900000000161e-02 1.310747260399778291e-01
8.424172600000000288e-02 1.301868178320227942e-01
8.452394300000000416e-02 1.293089632166329328e-01
8.480615900000000595e-02 1.284410153152637513e-01
8.508837599999999335e-02 1.275828105538031054e-01
8.537059299999999462e-02 1.267341842401565610e-01
8.565280999999999589e-02 1.258949783977360570e-01
8.593502699999999717e-02 1.250650929493531127e-01
8.621724399999999844e-02 1.242444461622469742e-01
8.649946000000000024e-02 1.234329100438365939e-01
8.678167700000000151e-02 1.226302866996632629e-01
8.706389400000000278e-02 1.218363960433290205e-01
8.734611100000000405e-02 1.210511183885731451e-01
8.762832800000000533e-02 1.202743525562791904e-01
8.791054500000000660e-02 1.195059771842241630e-01
8.819276099999999452e-02 1.187458508686289743e-01
8.847497799999999579e-02 1.179938278169934546e-01
8.875719499999999706e-02 1.172497914471086339e-01
8.903941199999999834e-02 1.165136279469245473e-01
8.932162899999999961e-02 1.157852182320196210e-01
8.960384600000000088e-02 1.150644378622108638e-01
8.988606200000000268e-02 1.143511723147801057e-01
9.016827900000000395e-02 1.136453288450690047e-01
9.045049600000000523e-02 1.129468265118375586e-01
9.073271300000000650e-02 1.122555257963351732e-01
9.101492999999999389e-02 1.115712358055041958e-01
9.129714699999999516e-02 1.108937920490930401e-01
9.157936299999999696e-02 1.102231290451353152e-01
9.186157999999999824e-02 1.095591929552057475e-01
9.214379699999999951e-02 1.089019061626874812e-01
9.242601400000000078e-02 1.082511630783856565e-01
9.270823100000000205e-02 1.076068526331209751e-01
9.299044800000000333e-02 1.069688494368246923e-01
