# q  I_recon
2.398167000000000094e-03 9.975126700864529461e-01
2.680304000000000107e-03 9.968941643647312167e-01
2.962441000000000119e-03 9.962074658389378223e-01
3.244579000000000039e-03 9.954527514594806448e-01
3.526716000000000052e-03 9.946302398885024099e-01
3.808853000000000065e-03 9.937401385141882981e-01
4.090990000000000078e-03 9.927826441182092676e-01
4.373128000000000432e-03 9.917579517910929399e-01
4.655264999999999577e-03 9.906663319289673586e-01
4.937401999999999590e-03 9.895080918855706509e-01
5.219539999999999944e-03 9.882835328052512747e-01
5.501676999999999956e-03 9.869929516824856863e-01
5.783813999999999969e-03 9.856366342217367515e-01
6.065950999999999982e-03 9.842149257308029364e-01
6.348089000000000336e-03 9.827282032960013014e-01
6.630226000000000348e-03 9.811768478750946265e-01
6.912363000000000361e-03 9.795611938286201692e-01
7.194500000000000374e-03 9.778815847273697459e-01
7.476637999999999860e-03 9.761384505420132029e-01
7.758774999999999873e-03 9.743322960175392344e-01
8.040912000000000753e-03 9.724635809995347824e-01
8.323050000000000240e-03 9.705327050111650644e-01
8.605187000000000253e-03 9.685400908784891350e-01
8.887324000000000265e-03 9.664862395800776218e-01
9.169461000000000278e-03 9.643717125884185837e-01
9.451598999999999764e-03 9.621970324339668146e-01
9.733735999999999777e-03 9.599626827014784425e-01
1.001587299999999979e-02 9.576691281416698232e-01
1.029800999999999980e-02 9.553169356340863727e-01
1.058014799999999929e-02 9.529067098641286204e-01
1.086228499999999930e-02 9.504390609664903344e-01
1.114442199999999931e-02 9.479145370696436812e-01
1.142656000000000054e-02 9.453336935341077885e-01
1.170869700000000055e-02 9.426971994337727256e-01
1.199083400000000056e-02 9.400057338382825645e-01
1.227297100000000057e-02 9.372599226660338623e-01
1.255510900000000006e-02 9.344602821501788448e-01
1.283724600000000007e-02 9.316073787403643669e-01
1.311938300000000009e-02 9.287019393289749347e-01
1.340152000000000010e-02 9.257447747636420310e-01
1.368365799999999959e-02 9.227365964797711317e-01
1.396579499999999960e-02 9.196780196365528237e-01
1.424793199999999961e-02 9.165696436540076153e-01
1.453007000000000083e-02 9.134122183232576964e-01
1.481220700000000084e-02 9.102065791320317345e-01
1.509434400000000086e-02 9.069534471871203429e-01
1.537648099999999914e-02 9.036534488919140129e-01
1.565861899999999862e-02 9.003072231125854863e-01
1.594075600000000037e-02 8.969156065467867034e-01
1.622289299999999865e-02 8.934794499374414389e-01
1.650503000000000040e-02 8.899995386429250255e-01
1.678716800000000162e-02 8.864765541286518946e-01
1.706930499999999989e-02 8.829112360553970085e-01
1.735144200000000164e-02 8.793044056404434317e-01
1.763357999999999939e-02 8.756569142668402250e-01
1.791571700000000114e-02 8.719695654290557929e-01
1.819785399999999942e-02 8.682430309367206167e-01
1.847999100000000117e-02 8.644780286807564051e-01
1.876212899999999892e-02 8.606754176545449164e-01
1.904426600000000067e-02 8.568361329908878998e-01
1.932640299999999894e-02 8.529609840012211119e-01
1.960854000000000069e-02 8.490507104480441436e-01
1.989067799999999844e-02 8.451060749105375747e-01
2.017281500000000019e-02 8.411280291064984205e-01
2.045495199999999847e-02 8.371175062257141253e-01
2.073708900000000022e-02 8.330752646826932173e-01
2.101922700000000144e-02 8.290018824756228977e-01
2.130136399999999972e-02 8.248980695045555755e-01
2.158350100000000146e-02 8.207647998008524848e-01
2.186563899999999921e-02 8.166030992857595816e-01
2.214777600000000096e-02 8.124138759380472585e-01
2.242991299999999924e-02 8.081978643447674804e-01
2.271205000000000099e-02 8.039558360113762125e-01
2.299418799999999874e-02 7.996886225992460018e-01
2.327632500000000049e-02 7.953971101308709990e-01
2.355846199999999876e-02 7.910820750589268036e-01
2.384059900000000051e-02 7.867442627198482086e-01
2.412273700000000173e-02 7.823844531998304097e-01
2.440487400000000001e-02 7.780036070967024653e-01
2.468701099999999829e-02 7.736026482648388214e-01
2.496914899999999951e-02 7.691823578453723664e-01
2.525128600000000126e-02 7.647434714123295674e-01
2.553342299999999954e-02 7.602867378654845076e-01
2.581556000000000128e-02 7.558130670787216454e-01
2.609769799999999904e-02 7.513233595133240739e-01
2.637983500000000078e-02 7.468184159820404622e-01
2.666197199999999906e-02 7.422989031634542600e-01
2.694410900000000081e-02 7.377655661797071218e-01
2.722624699999999856e-02 7.332192684978415809e-01
2.750838400000000031e-02 7.286609273274808896e-01
2.779052099999999859e-02 7.240913057612577974e-01
2.807265899999999981e-02 7.195111109498935065e-01
2.835479600000000155e-02 7.149211456895008254e-01
2.863693299999999983e-02 7.103222543474524420e-01
2.891907000000000158e-02 7.057152856356511128e-01
2.920120799999999933e-02 7.011008965686749139e-01
2.948334500000000108e-02 6.964797107292546308e-01
2.976548199999999936e-02 6.918524148647730021e-01
3.004761900000000110e-02 6.872199055578060989e-01
3.032975699999999886e-02 6.825830565469171995e-01
3.061189400000000060e-02 6.779426112313068353e-01
3.089403099999999888e-02 6.732991872403575329e-01
3.117616900000000010e-02 6.686534538945811956e-01
3.145830599999999838e-02 6.640062105829732664e-01
3.174044300000000013e-02 6.593581975605204981e-01
3.202258000000000188e-02 6.547100670382652865e-01
3.230471800000000310e-02 6.500624158568071298e-01
3.258685499999999791e-02 6.454159595687027906e-01
3.286899199999999965e-02 6.407714615567101646e-01
3.315112900000000140e-02 6.361296837631117418e-01
3.343326700000000262e-02 6.314912312949682027e-01
3.371540399999999743e-02 6.268567118117723824e-01
3.399754099999999918e-02 6.222267527272996590e-01
3.427967900000000040e-02 6.176020692157238035e-01
3.456181600000000215e-02 6.129833950537250109e-01
3.484395299999999696e-02 6.083712349027022848e-01
3.512608999999999870e-02 6.037660583441720741e-01
3.540822799999999992e-02 5.991684470417681929e-01
3.569036500000000167e-02 5.945791790008442268e-01
3.597250200000000342e-02 5.899989466455690668e-01
3.625463899999999823e-02 5.854282601323013147e-01
3.653677699999999945e-02 5.808675630765740561e-01
3.681891400000000120e-02 5.763174612882187020e-01
3.710105100000000294e-02 5.717786303856329244e-01
3.738318799999999775e-02 5.672517079983852017e-01
3.766532599999999897e-02 5.627370796656243623e-01
3.794746300000000072e-02 5.582351283051320001e-01
3.822960000000000247e-02 5.537463497844484772e-01
3.851173799999999675e-02 5.492713918901148684e-01
3.879387499999999850e-02 5.448109069285382855e-01
3.907601200000000025e-02 5.403653267095311907e-01
3.935814900000000199e-02 5.359350638774833531e-01
3.964028700000000321e-02 5.315205698483564944e-01
3.992242399999999802e-02 5.271223893742766897e-01
4.020456099999999977e-02 5.227409902370946382e-01
4.048669800000000152e-02 5.183767565043579939e-01
