Q,I(Q),Error
0.003245494,0.017266357,0.001711567
0.00352771,0.014481121,0.000850858
0.003809927,0.015269064,0.000577073
0.004092144,0.013622093,0.000496641
0.004374361,0.014333797,0.000446151
0.004656578,0.013850053,0.000373312
0.004938795,0.013693185,0.000355424
0.005221011,0.012936123,0.000298543
0.005503228,0.013315719,0.000289069
0.005785445,0.012811612,0.000256779
0.006067662,0.01290852,0.000242367
0.006349879,0.013294407,0.000234943
0.006632096,0.012672206,0.000205866
0.006914312,0.01287746,0.000203323
0.007196529,0.01267294,0.000186471
0.007478746,0.012817683,0.000182687
0.007760963,0.012614017,0.000174028
0.00804318,0.012543272,0.000162724
0.008325397,0.012464143,0.000160609
0.008607614,0.012303631,0.000150205
0.00888983,0.012525391,0.000147792
0.009172047,0.012533219,0.000143198
0.009454264,0.012394539,0.000136852
0.009736481,0.012272798,0.000133335
0.010018698,0.012479174,0.000128189
0.010300915,0.012418638,0.000126627
0.010583131,0.012430174,0.000128319
0.010865348,0.011989922,0.000122688
0.011147565,0.012157838,0.000125831
0.011429782,0.012364024,0.000120116
0.011711999,0.01220951,0.000121354
0.011994216,0.012227476,0.000118014
0.012276432,0.012057144,0.000116332
0.012558649,0.012280045,0.000115449
0.012840866,0.012203952,0.000110038
0.013123083,0.012040288,0.000111761
0.0134053,0.011939265,0.000107556
0.013687517,0.011611424,0.000107181
0.013969733,0.011922522,0.000106626
0.01425195,0.011952531,0.000102212
0.014534167,0.011790138,0.000103422
0.014816384,0.011604471,0.000100981
0.015098601,0.01175659,0.000100248
0.015380818,0.011664608,9.9101E-05
0.015663034,0.011651873,9.63428E-05
0.015945251,0.011790623,9.6679E-05
0.016227468,0.011543308,9.47016E-05
0.016509685,0.011290153,9.37555E-05
0.016791902,0.011524616,9.23739E-05
0.017074119,0.011259637,9.20267E-05
0.017356335,0.011262081,8.70102E-05
0.017638552,0.011437066,8.48218E-05
0.017920769,0.011216452,8.24724E-05
0.018202986,0.011075862,8.09353E-05
0.018485203,0.010913437,7.97291E-05
0.01876742,0.011008941,7.87533E-05
0.019049636,0.010973431,7.74106E-05
0.019331853,0.01097163,7.6763E-05
0.01961407,0.01093669,7.55161E-05
0.019896287,0.010681832,7.4153E-05
0.020178504,0.010833269,7.29658E-05
0.020460721,0.010734201,7.23276E-05
0.020742938,0.010596543,7.146E-05
0.021025154,0.010539753,7.10148E-05
0.021307371,0.010713674,7.07815E-05
0.021589588,0.01053801,6.87006E-05
0.021871805,0.010526485,7.00755E-05
0.022154022,0.010420841,6.80806E-05
0.022436239,0.010384421,6.75687E-05
0.022718455,0.010347656,6.70279E-05
0.023000672,0.010276231,6.63942E-05
0.023282889,0.01013589,6.5968E-05
0.023565106,0.01002994,6.50451E-05
0.023847323,0.010039142,6.50434E-05
0.02412954,0.009907654,6.46328E-05
0.024411756,0.009897005,6.42176E-05
0.024693973,0.010007575,6.3777E-05
0.02497619,0.009835702,6.26778E-05
0.025258407,0.009665731,6.16653E-05
0.025540624,0.009778807,6.23362E-05
0.025822841,0.009710324,6.10883E-05
0.026105057,0.009453785,6.15826E-05
0.026387274,0.009531397,5.98187E-05
0.026669491,0.009590548,6.05089E-05
0.026951708,0.009399586,6.10654E-05
0.027233925,0.009396149,6.08837E-05
0.027516142,0.009389214,6.14268E-05
0.027798358,0.009229144,6.10405E-05
0.028080575,0.009212985,6.21462E-05
0.028362792,0.009215848,6.1165E-05
0.028645009,0.009080986,6.09644E-05
0.028927226,0.00907844,6.2261E-05
0.029209443,0.008896936,6.03645E-05
0.029491659,0.008892016,6.11793E-05
0.029773876,0.008884996,5.99441E-05
0.030056093,0.008761597,5.92127E-05
0.03033831,0.00881484,6.04127E-05
0.030620527,0.008669476,5.84028E-05
0.030902744,0.008699639,5.92875E-05
0.03118496,0.008574279,5.80027E-05
0.031467177,0.008532706,5.83189E-05
0.031749394,0.00847959,5.85452E-05
0.032031611,0.008435675,5.6954E-05
0.032313828,0.008291259,5.82106E-05
0.032596045,0.008126736,5.64328E-05
0.032878261,0.008163335,5.71241E-05
0.033160478,0.008246687,5.67689E-05
0.033442695,0.008031278,5.62928E-05
0.033724912,0.008043051,5.64939E-05
0.034007129,0.00805241,5.63351E-05
0.034289346,0.007947509,5.6559E-05
0.034571562,0.008037494,5.52624E-05
0.034853779,0.007849918,5.55057E-05
0.035135996,0.007671615,5.53088E-05
0.035418213,0.007632178,5.42474E-05
0.03570043,0.007508211,5.47291E-05
0.035982647,0.007621476,5.35321E-05
0.036264864,0.007550557,5.47641E-05
0.03654708,0.007481835,5.34372E-05
0.036829297,0.007287026,5.30743E-05
0.037111514,0.007410652,5.31513E-05
0.037393731,0.007311745,5.23951E-05
0.037675948,0.00724577,5.29131E-05
0.037958165,0.007145299,5.2073E-05
0.038240381,0.0071567,5.22798E-05
0.038522598,0.007240802,5.23199E-05
0.038804815,0.007080498,5.14508E-05
0.039087032,0.007177144,5.22689E-05
0.039369249,0.007020646,5.09075E-05
0.039651466,0.006783776,5.11889E-05
0.039933682,0.00679143,5.09233E-05
0.040215899,0.006807327,5.08021E-05
0.040498116,0.006696439,5.05813E-05
0.040780333,0.006681145,4.99331E-05
0.04106255,0.006588071,5.01178E-05
0.041344767,0.006643899,5.02471E-05
0.041626983,0.00648323,4.92764E-05
0.0419092,0.006441561,4.96442E-05
0.042191417,0.006563062,4.95142E-05
0.042473634,0.00633657,4.9256E-05
0.042755851,0.006284008,4.9054E-05
0.043038068,0.006268434,4.95786E-05
0.043320284,0.006208125,5.10715E-05
0.043602501,0.00611672,4.98976E-05
0.043884718,0.006170404,5.11327E-05
0.044166935,0.005969794,5.04546E-05
0.044449152,0.006038106,5.13515E-05
0.044731369,0.006026767,5.19414E-05
0.045013585,0.00592704,5.08645E-05
0.045295802,0.005930889,5.19924E-05
0.045578019,0.005788657,5.12961E-05
0.045860236,0.005797223,5.19827E-05
0.046142453,0.005628465,5.18502E-05
0.04642467,0.005658611,5.10019E-05
0.046706886,0.005590958,5.18381E-05
0.046989103,0.005545271,5.17311E-05
0.04727132,0.005526071,5.21275E-05
0.047553537,0.005560903,5.24513E-05
0.047835754,0.005436,5.17468E-05
0.048117971,0.005386877,5.2899E-05
0.048400187,0.005341171,5.12588E-05
0.048682404,0.005432852,5.21693E-05
0.048964621,0.005329342,5.17032E-05
0.049246838,0.005235367,5.21921E-05
0.049529055,0.005256036,5.27108E-05
0.049811272,0.00510551,5.01559E-05
0.050093488,0.005153299,5.00807E-05
0.050375705,0.005157893,4.9553E-05
0.050657922,0.005087014,4.93763E-05
0.050940139,0.005010991,4.87494E-05
0.051222356,0.005034538,4.77466E-05
0.051504573,0.004938733,4.77133E-05
0.05178679,0.004916866,4.69174E-05
0.052069006,0.004821606,4.74306E-05
0.052351223,0.004739942,4.60411E-05
0.05263344,0.004749701,4.62877E-05
0.052915657,0.004762222,4.64524E-05
0.053197874,0.004684933,4.55985E-05
0.053480091,0.004632038,4.58638E-05
0.053762307,0.004583377,4.48113E-05
0.054044524,0.004612832,4.50603E-05
0.054326741,0.004491308,4.46302E-05
0.054608958,0.004489972,4.39176E-05
0.054891175,0.004445234,4.44744E-05
0.055173392,0.004374997,4.40101E-05
0.055455608,0.00437527,4.41703E-05
0.055737825,0.00427096,4.345E-05
0.056020042,0.004305435,4.30865E-05
0.056302259,0.004335906,4.31577E-05
0.056584476,0.0041968,4.2386E-05
0.056866693,0.004176143,4.30627E-05
0.057148909,0.004165412,4.26692E-05
0.057431126,0.004189047,4.24661E-05
0.057713343,0.004093918,4.26972E-05
0.05799556,0.003991325,4.15914E-05
0.058277777,0.00398793,4.1502E-05
0.058559994,0.004031391,4.18094E-05
0.05884221,0.003963761,4.15684E-05
0.059124427,0.003893118,4.176E-05
0.059406644,0.003950264,4.16199E-05
0.059688861,0.00391838,4.19684E-05
0.059971078,0.003854979,4.10355E-05
0.060253295,0.003825352,4.12283E-05
0.060535511,0.003696894,4.0947E-05
0.060817728,0.003801264,4.11799E-05
0.061099945,0.003684798,4.02391E-05
0.061382162,0.003638487,4.0055E-05
0.061664379,0.003609975,4.07967E-05
0.061946596,0.003650068,4.02991E-05
0.062228812,0.00353061,4.05521E-05
0.062511029,0.003568824,4.00008E-05
0.062793246,0.003520119,4.03281E-05
0.063075463,0.0034637,4.01259E-05
0.06335768,0.003471864,3.94894E-05
0.063639897,0.003424268,3.96207E-05
0.063922113,0.003355899,3.93153E-05
0.06420433,0.003336271,3.92735E-05
0.064486547,0.003353082,3.97028E-05
0.064768764,0.003272221,3.89041E-05
0.065050981,0.003227944,3.89683E-05
0.065333198,0.003257032,3.92499E-05
0.065615414,0.003162267,3.83171E-05
0.065897631,0.003258263,3.9346E-05
0.066179848,0.003181278,3.84961E-05
0.066462065,0.00316335,3.87638E-05
0.066744282,0.003120383,3.83577E-05
0.067026499,0.003170049,3.87215E-05
0.067308716,0.00312898,3.84699E-05
0.067590932,0.003039061,3.84916E-05
0.067873149,0.002980622,3.81316E-05
0.068155366,0.003077324,3.85143E-05
0.068437583,0.002952356,3.77252E-05
0.0687198,0.002891767,3.76268E-05
0.069002017,0.002970039,3.78578E-05
0.069284233,0.00289926,3.73876E-05
0.06956645,0.002932192,3.75588E-05
0.069848667,0.002994761,3.77738E-05
0.070130884,0.00282894,3.67066E-05
0.070413101,0.00281195,3.84603E-05
0.070695318,0.002781807,3.84589E-05
0.070977534,0.002670957,3.77851E-05
0.071259751,0.002762906,3.93735E-05
0.071541968,0.002814598,3.87508E-05
0.071824185,0.002794138,3.91459E-05
0.072106402,0.002752422,3.94749E-05
0.072388619,0.002687058,3.93441E-05
0.072670835,0.002628812,3.94506E-05
0.072953052,0.002621469,3.92427E-05
0.073235269,0.002564826,3.94446E-05
0.073517486,0.002478878,3.91163E-05
0.073799703,0.002602613,3.94736E-05
0.07408192,0.002571294,3.9879E-05
0.074364136,0.002537523,3.91083E-05
0.074646353,0.002421056,3.94406E-05
