# q  I_recon
3.245493999999999810e-03 9.950460961071154742e-01
3.527709999999999874e-03 9.941506860864773865e-01
3.809926999999999845e-03 9.931819156600989462e-01
4.092143999999999816e-03 9.921400594038251031e-01
4.374361000000000221e-03 9.910253931312156261e-01
4.656577999999999759e-03 9.898382640783548458e-01
4.938795000000000164e-03 9.885790719329885512e-01
5.221011000000000228e-03 9.872482189467640668e-01
5.503227999999999766e-03 9.858460837960806300e-01
5.785445000000000171e-03 9.843730627963035440e-01
6.067661999999999708e-03 9.828296096667218373e-01
6.349879000000000114e-03 9.812162191212625562e-01
6.632095999999999651e-03 9.795333765208381616e-01
6.914311999999999715e-03 9.777815495312822680e-01
7.196529000000000120e-03 9.759611930332300345e-01
7.478745999999999658e-03 9.740728793274411323e-01
7.760963000000000063e-03 9.721172334154377648e-01
8.043180000000000468e-03 9.700948560656614816e-01
8.325397000000000006e-03 9.680062946719957262e-01
8.607613999999999543e-03 9.658521010859009159e-01
8.889829999999999607e-03 9.636329384835140566e-01
9.172046999999999145e-03 9.613495014222148694e-01
9.454264000000000417e-03 9.590024788588864535e-01
9.736480999999999955e-03 9.565924953367721528e-01
1.001869799999999949e-02 9.541201812009115768e-01
1.030091500000000077e-02 9.515862645750724491e-01
1.058313100000000083e-02 9.489915296499656927e-01
1.086534800000000037e-02 9.463367144344080328e-01
1.114756499999999990e-02 9.436225520947552070e-01
1.142978199999999944e-02 9.408497759269180971e-01
1.171199900000000071e-02 9.380192068535754268e-01
1.199421600000000025e-02 9.351317025061517407e-01
1.227643200000000032e-02 9.321880697291693441e-01
1.255864899999999985e-02 9.291889888363583649e-01
1.284086599999999939e-02 9.261351935217611020e-01
1.312308300000000066e-02 9.230275966234285923e-01
1.340530000000000020e-02 9.198671820095793983e-01
1.368751699999999974e-02 9.166548446798026273e-01
1.396973299999999980e-02 9.133913671457776218e-01
1.425194999999999934e-02 9.100775148762551003e-01
1.453416700000000061e-02 9.067142369768702581e-01
1.481638400000000015e-02 9.033025200355249140e-01
1.509860099999999969e-02 8.998432684162747108e-01
1.538081799999999923e-02 8.963372830358867782e-01
1.566303399999999929e-02 8.927854034310827025e-01
1.594525100000000056e-02 8.891885909534958943e-01
1.622746799999999837e-02 8.855478907835909741e-01
1.650968499999999964e-02 8.818642554282265511e-01
1.679190200000000091e-02 8.781385464303101962e-01
1.707411899999999871e-02 8.743716469902312882e-01
1.735633500000000051e-02 8.705645697101173086e-01
1.763855199999999832e-02 8.667183144193192357e-01
1.792076899999999959e-02 8.628338303271574361e-01
1.820298600000000086e-02 8.589119600239092378e-01
1.848520299999999866e-02 8.549535806490479173e-01
1.876741999999999994e-02 8.509597196000224795e-01
1.904963600000000173e-02 8.469314504255831544e-01
1.933185299999999954e-02 8.428697121573642814e-01
1.961407000000000081e-02 8.387754019094987301e-01
1.989628699999999861e-02 8.346494408342022275e-01
2.017850399999999988e-02 8.304928928458497062e-01
2.046072100000000116e-02 8.263068409452882790e-01
2.074293799999999896e-02 8.220921710551472028e-01
2.102515400000000076e-02 8.178496198731590727e-01
2.130737099999999856e-02 8.135799713167503056e-01
2.158958799999999983e-02 8.092843531331515017e-01
2.187180500000000111e-02 8.049639233239269664e-01
2.215402199999999891e-02 8.006196684363729998e-01
2.243623900000000018e-02 7.962524460827902217e-01
2.271845499999999851e-02 7.918631519340636471e-01
2.300067199999999978e-02 7.874527050368582692e-01
2.328288900000000106e-02 7.830220771736516872e-01
2.356510599999999886e-02 7.785721528939782976e-01
2.384732300000000013e-02 7.741037682767647476e-01
2.412954000000000140e-02 7.696178095594774504e-01
2.441175599999999973e-02 7.651153038181532917e-01
2.469397300000000101e-02 7.605972349848919567e-01
2.497618999999999881e-02 7.560644840046296666e-01
2.525840700000000008e-02 7.515178241484234967e-01
2.554062400000000135e-02 7.469580895294649636e-01
2.582284099999999916e-02 7.423862502680453890e-01
2.610505700000000096e-02 7.378032942663571569e-01
2.638727399999999876e-02 7.332100055608894440e-01
2.666949100000000003e-02 7.286071322339203737e-01
2.695170800000000130e-02 7.239954678085473994e-01
2.723392499999999911e-02 7.193759285309148099e-01
2.751614200000000038e-02 7.147494313927492682e-01
2.779835799999999871e-02 7.101167980625899823e-01
2.808057499999999998e-02 7.054787463961558203e-01
2.836279200000000125e-02 7.008360886343466545e-01
