elm_identifier,start,stop,is_annotated,is_phiblastmatch,is_filtered,phiblast,topodomfilter,taxonfilter,structure
CLV_NRD_NRD_1,17,19,False,False,False,False,False,False,False
CLV_PCSK_KEX2_1,17,19,False,False,False,False,False,False,False
DEG_Nend_UBRbox_1,1,3,False,False,False,False,False,False,False
DOC_PP2A_B56_1,6,11,False,False,False,False,False,False,False
DOC_USP7_MATH_1,36,40,False,False,False,False,False,False,False
DOC_USP7_MATH_1,41,45,False,False,False,False,False,False,False
LIG_14-3-3_CanoR_1,1,9,False,False,False,False,False,False,False
LIG_BRCT_BRCA1_1,2,6,False,False,False,False,False,False,False
LIG_LIR_Gen_1,11,21,False,False,False,False,False,False,False
LIG_LIR_Gen_1,56,63,False,False,False,False,False,False,False
LIG_LIR_Nem_3,11,16,False,False,False,False,False,False,False
LIG_LIR_Nem_3,3,9,False,False,False,False,False,False,False
LIG_LIR_Nem_3,4,9,False,False,False,False,False,False,False
LIG_PDZ_Class_1,68,73,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,50,57,False,False,False,False,False,False,False
MOD_GlcNHglycan,44,47,False,False,False,False,False,False,False
MOD_GlcNHglycan,49,52,False,False,False,False,False,False,False
MOD_N-GLC_1,41,46,False,False,False,False,False,False,False
MOD_PKA_2,66,72,False,False,False,False,False,False,False
TRG_DiLeu_BaEn_1,19,24,False,False,False,False,False,False,False
TRG_ER_diArg_1,16,18,False,False,False,False,False,False,False
TRG_Pf-PMV_PEXEL_1,7,11,False,False,False,False,False,False,False
