Q,I(Q),Error
0.003245494,0.01563678,0.001781422
0.00352771,0.01503059,0.000998229
0.003809927,0.016123765,0.000654818
0.004092144,0.014941022,0.000607031
0.004374361,0.015792141,0.000522105
0.004656578,0.016198,0.000451465
0.004938795,0.015005043,0.000429723
0.005221011,0.015510961,0.000371836
0.005503228,0.014784558,0.000349212
0.005785445,0.015015252,0.000313245
0.006067662,0.014612426,0.000293508
0.006349879,0.015864306,0.00028848
0.006632096,0.015054415,0.000256401
0.006914312,0.014951324,0.000249925
0.007196529,0.014919888,0.000228773
0.007478746,0.01508778,0.000221999
0.007760963,0.015086858,0.000216259
0.00804318,0.01469885,0.00020104
0.008325397,0.014408373,0.000198244
0.008607614,0.014652848,0.000185829
0.00888983,0.015247384,0.000183817
0.009172047,0.014457064,0.000173736
0.009454264,0.014460693,0.000167428
0.009736481,0.01469315,0.000165696
0.010018698,0.014638555,0.000159606
0.010300915,0.014512021,0.000155679
0.010583131,0.014651871,0.000158315
0.010865348,0.014601584,0.000152769
0.011147565,0.014413162,0.000155775
0.011429782,0.014357448,0.000149117
0.011711999,0.014438177,0.000150421
0.011994216,0.014346999,0.00014516
0.012276432,0.014403616,0.00014437
0.012558649,0.014383204,0.000143036
0.012840866,0.014216025,0.000137232
0.013123083,0.013902675,0.000137612
0.0134053,0.013902951,0.0001338
0.013687517,0.014079406,0.00013431
0.013969733,0.013550418,0.000130725
0.01425195,0.013929162,0.00012641
0.014534167,0.013928169,0.000127893
0.014816384,0.014086192,0.000126717
0.015098601,0.01369148,0.000124306
0.015380818,0.013736522,0.000122627
0.015663034,0.013601398,0.000119937
0.015945251,0.013581473,0.000119367
0.016227468,0.013615175,0.000116883
0.016509685,0.013468794,0.000116373
0.016791902,0.013253115,0.000114395
0.017074119,0.013228001,0.000114293
0.017356335,0.013343999,0.000108951
0.017638552,0.012961148,0.000104685
0.017920769,0.01308802,0.000102425
0.018202986,0.012874667,0.000100061
0.018485203,0.013032629,9.95792E-05
0.01876742,0.012744532,9.71942E-05
0.019049636,0.012927155,9.59408E-05
0.019331853,0.012654171,9.48652E-05
0.01961407,0.012806173,9.36104E-05
0.019896287,0.012619084,9.21734E-05
0.020178504,0.012522967,9.09929E-05
0.020460721,0.012445132,8.95908E-05
0.020742938,0.012498667,8.89327E-05
0.021025154,0.01230163,8.78534E-05
0.021307371,0.012195594,8.69627E-05
0.021589588,0.012216114,8.53156E-05
0.021871805,0.011961203,8.62722E-05
0.022154022,0.012031984,8.41831E-05
0.022436239,0.011894066,8.31732E-05
0.022718455,0.011932083,8.35215E-05
0.023000672,0.011792762,8.25731E-05
0.023282889,0.011815546,8.20368E-05
0.023565106,0.011715029,8.06897E-05
0.023847323,0.011443885,7.98488E-05
0.02412954,0.011693045,8.02033E-05
0.024411756,0.011441068,7.90271E-05
0.024693973,0.011505271,7.87315E-05
0.02497619,0.011237807,7.68722E-05
0.025258407,0.011169337,7.61954E-05
0.025540624,0.011116021,7.70556E-05
0.025822841,0.010998152,7.51776E-05
0.026105057,0.011012836,7.60002E-05
0.026387274,0.01104182,7.39248E-05
0.026669491,0.010922736,7.45343E-05
0.026951708,0.010861976,7.57212E-05
0.027233925,0.010802792,7.5231E-05
0.027516142,0.010650154,7.62962E-05
0.027798358,0.010507667,7.54226E-05
0.028080575,0.010504323,7.6625E-05
0.028362792,0.010418799,7.52955E-05
0.028645009,0.010450395,7.53247E-05
0.028927226,0.010456947,7.68097E-05
0.029209443,0.010336794,7.42607E-05
0.029491659,0.010199036,7.51631E-05
0.029773876,0.010101498,7.39013E-05
0.030056093,0.010128137,7.3768E-05
0.03033831,0.009932494,7.45681E-05
0.030620527,0.0098081,7.15293E-05
0.030902744,0.009833856,7.32644E-05
0.03118496,0.009686813,7.1573E-05
0.031467177,0.009729891,7.22851E-05
0.031749394,0.009568114,7.22165E-05
0.032031611,0.009405186,6.96779E-05
0.032313828,0.009499054,7.08513E-05
0.032596045,0.009452233,6.97644E-05
0.032878261,0.009341255,7.0495E-05
0.033160478,0.009312899,7.02015E-05
0.033442695,0.009205477,6.92897E-05
0.033724912,0.009188207,6.99276E-05
0.034007129,0.009138728,6.9593E-05
0.034289346,0.009013246,6.97144E-05
0.034571562,0.009007091,6.78152E-05
0.034853779,0.008905428,6.8421E-05
0.035135996,0.008804267,6.81009E-05
0.035418213,0.008758836,6.72891E-05
0.03570043,0.008660384,6.72269E-05
0.035982647,0.008629378,6.60475E-05
0.036264864,0.008472176,6.72185E-05
0.03654708,0.008605196,6.61656E-05
0.036829297,0.008427629,6.59229E-05
0.037111514,0.00820562,6.4856E-05
0.037393731,0.008357968,6.51469E-05
0.037675948,0.008224607,6.53709E-05
0.037958165,0.008214618,6.44109E-05
0.038240381,0.008000286,6.43723E-05
0.038522598,0.007924525,6.41977E-05
0.038804815,0.007854861,6.31721E-05
0.039087032,0.007861431,6.36838E-05
0.039369249,0.007813299,6.27034E-05
0.039651466,0.007773705,6.31389E-05
0.039933682,0.007703212,6.31124E-05
0.040215899,0.007600249,6.18934E-05
0.040498116,0.007619798,6.21743E-05
0.040780333,0.0074161,6.07921E-05
0.04106255,0.007423362,6.18532E-05
0.041344767,0.007422471,6.1646E-05
0.041626983,0.007314745,6.03456E-05
0.0419092,0.007327902,6.0921E-05
0.042191417,0.007098865,5.98123E-05
0.042473634,0.007153325,6.03278E-05
0.042755851,0.007264948,6.05536E-05
0.043038068,0.007012074,6.0782E-05
0.043320284,0.007026114,6.26303E-05
0.043602501,0.006911048,6.1317E-05
0.043884718,0.006794922,6.24843E-05
0.044166935,0.006817217,6.20696E-05
0.044449152,0.006727209,6.27817E-05
0.044731369,0.006720758,6.39643E-05
0.045013585,0.006675874,6.29304E-05
0.045295802,0.00665817,6.38104E-05
0.045578019,0.006552822,6.30184E-05
0.045860236,0.006501692,6.36966E-05
0.046142453,0.006521536,6.37568E-05
0.04642467,0.006390232,6.31208E-05
0.046706886,0.006359365,6.42144E-05
0.046989103,0.006276889,6.33407E-05
0.04727132,0.006176704,6.40038E-05
