Q,I(Q),Error
0.002398167,0.018065243,0.002959422
0.002680304,0.023174418,0.001287659
0.002962441,0.020414566,0.000936586
0.003244579,0.020715025,0.000705669
0.003526716,0.020896881,0.000579378
0.003808853,0.021212694,0.000420885
0.00409099,0.021534972,0.000379677
0.004373128,0.021173531,0.000342423
0.004655265,0.021624096,0.000307829
0.004937402,0.02139696,0.000285422
0.00521954,0.021043295,0.000251684
0.005501677,0.020882453,0.000238794
0.005783814,0.021250413,0.000223098
0.006065951,0.021002922,0.000216291
0.006348089,0.021482288,0.000204224
0.006630226,0.020771153,0.000191933
0.006912363,0.020594909,0.000184553
0.0071945,0.020945384,0.000178805
0.007476638,0.020904048,0.000172151
0.007758775,0.02096884,0.000165158
0.008040912,0.020574126,0.000163604
0.00832305,0.020630616,0.000159088
0.008605187,0.020351559,0.000153302
0.008887324,0.020499403,0.000150274
0.009169461,0.020208425,0.000146243
0.009451599,0.020445887,0.000143883
0.009733736,0.020634997,0.000142544
0.010015873,0.020314401,0.00013647
0.01029801,0.020167229,0.000135528
0.010580148,0.020133714,0.000135195
0.010862285,0.020005644,0.000138839
0.011144422,0.020268663,0.000138692
0.01142656,0.019935652,0.000135527
0.011708697,0.019838624,0.000134453
0.011990834,0.019861348,0.000132185
0.012272971,0.019959106,0.000133436
0.012555109,0.019617958,0.000129882
0.012837246,0.019880451,0.000129813
0.013119383,0.01934676,0.000127871
0.01340152,0.01962544,0.000125663
0.013683658,0.019557414,0.00012527
0.013965795,0.019136085,0.000124151
0.014247932,0.019091001,0.00012232
0.01453007,0.01903821,0.000122972
0.014812207,0.018860817,0.000118663
0.015094344,0.019124904,0.000120006
0.015376481,0.018780673,0.000118179
0.015658619,0.01881642,0.00011689
0.015940756,0.018668516,0.000116438
0.016222893,0.0186729,0.000115706
0.01650503,0.018636933,0.000113774
0.016787168,0.018305795,0.000112785
0.017069305,0.018526185,0.000111779
0.017351442,0.01830569,0.000107448
0.01763358,0.018406645,0.000105072
0.017915717,0.018084906,0.000102838
0.018197854,0.018068425,0.000100991
0.018479991,0.018007219,9.85899E-05
0.018762129,0.01784488,9.791E-05
0.019044266,0.017997452,9.63912E-05
0.019326403,0.017602621,9.6042E-05
0.01960854,0.017612191,9.36704E-05
0.019890678,0.017475738,9.32523E-05
0.020172815,0.017494574,9.15149E-05
0.020454952,0.017380348,9.12171E-05
0.020737089,0.017185945,9.05524E-05
0.021019227,0.017127483,8.99906E-05
0.021301364,0.017064078,8.89693E-05
0.021583501,0.016981882,8.7234E-05
0.021865639,0.016856726,8.7455E-05
0.022147776,0.016900602,8.68712E-05
0.022429913,0.016739203,8.56762E-05
0.02271205,0.016622652,8.56425E-05
0.022994188,0.016502361,8.46082E-05
0.023276325,0.016378698,8.3159E-05
0.023558462,0.016339283,8.36832E-05
0.023840599,0.016165049,8.2307E-05
0.024122737,0.016215954,8.26272E-05
0.024404874,0.015939216,8.10138E-05
0.024687011,0.015761636,8.04892E-05
0.024969149,0.01586135,8.00079E-05
0.025251286,0.015818401,8.01313E-05
0.025533423,0.015588614,7.89792E-05
0.02581556,0.015549187,7.84498E-05
0.026097698,0.015294805,7.76888E-05
0.026379835,0.01531179,7.72762E-05
0.026661972,0.015191789,7.70629E-05
0.026944109,0.015141014,7.60211E-05
0.027226247,0.015041504,7.55814E-05
0.027508384,0.014864298,7.61553E-05
0.027790521,0.014886102,7.70535E-05
0.028072659,0.01475492,7.71927E-05
