Q,I(Q),Error
0.002398167,0.022041401,0.003108136
0.002680304,0.017782656,0.001313558
0.002962441,0.019224013,0.000965839
0.003244579,0.020030599,0.000727653
0.003526716,0.020484746,0.000598591
0.003808853,0.019691318,0.000432198
0.00409099,0.020095915,0.00039041
0.004373128,0.020197676,0.000353366
0.004655265,0.02038076,0.000317491
0.004937402,0.020223026,0.000294989
0.00521954,0.020067848,0.000260323
0.005501677,0.020266024,0.000248539
0.005783814,0.019792472,0.000231262
0.006065951,0.019845822,0.000224609
0.006348089,0.020382638,0.000212176
0.006630226,0.020174615,0.000201123
0.006912363,0.019877697,0.00019327
0.0071945,0.020141544,0.000187214
0.007476638,0.020122209,0.000180496
0.007758775,0.019853832,0.00017271
0.008040912,0.019929884,0.000171633
0.00832305,0.019719987,0.000166998
0.008605187,0.019505476,0.00016106
0.008887324,0.01973479,0.000158028
0.009169461,0.019484826,0.000153701
0.009451599,0.019652298,0.000151265
0.009733736,0.019376995,0.000149194
0.010015873,0.019226218,0.000143142
0.01029801,0.019412105,0.00014261
0.010580148,0.019090966,0.000141815
0.010862285,0.01935678,0.000146543
0.011144422,0.019318571,0.000145665
0.01142656,0.01891924,0.000142388
0.011708697,0.018877578,0.000141147
0.011990834,0.018871561,0.000138923
0.012272971,0.01865203,0.000139764
0.012555109,0.018822325,0.000136653
0.012837246,0.018758797,0.000136095
0.013119383,0.018498854,0.000134516
0.01340152,0.018448921,0.000131742
0.013683658,0.018219543,0.000131116
0.013965795,0.018390229,0.000130757
0.014247932,0.018203683,0.00012859
0.01453007,0.018146192,0.000129287
0.014812207,0.018029119,0.000124959
0.015094344,0.018015604,0.00012576
0.015376481,0.017885076,0.000124315
0.015658619,0.017853317,0.000122673
0.015940756,0.017594581,0.000122146
0.016222893,0.017618076,0.00012144
0.01650503,0.017414877,0.000119272
0.016787168,0.017332062,0.000118385
0.017069305,0.017552546,0.000117458
0.017351442,0.017350683,0.000112906
0.01763358,0.017148983,0.000110075
0.017915717,0.017077774,0.000107889
0.018197854,0.017031745,0.000105978
0.018479991,0.016848857,0.000103313
0.018762129,0.016786028,0.000102716
0.019044266,0.016531208,0.000100607
0.019326403,0.016418144,0.000100705
0.01960854,0.01646651,9.80816E-05
0.019890678,0.016347191,9.77371E-05
0.020172815,0.016006339,9.55433E-05
0.020454952,0.016107771,9.55433E-05
0.020737089,0.016039061,9.46912E-05
0.021019227,0.015953646,9.43108E-05
0.021301364,0.015901457,9.32776E-05
0.021583501,0.015473413,9.10059E-05
0.021865639,0.015666964,9.15547E-05
0.022147776,0.015685841,9.09436E-05
