elm_identifier,start,stop,is_annotated,is_phiblastmatch,is_filtered,phiblast,topodomfilter,taxonfilter,structure
CLV_NRD_NRD_1,22,24,False,False,False,False,False,False,False
CLV_PCSK_KEX2_1,22,24,False,False,False,False,False,False,False
DEG_Kelch_Keap1_1,51,56,False,False,False,False,False,False,False
DEG_Nend_UBRbox_1,1,4,False,False,False,False,False,False,False
DEG_SPOP_SBC_1,48,52,False,False,False,False,False,False,False
DEG_SPOP_SBC_1,83,87,False,False,False,False,False,False,False
DOC_CKS1_1,117,122,False,False,False,False,False,False,False
DOC_CYCLIN_yCln2_LP_2,69,75,False,False,False,False,False,False,False
DOC_PP2A_B56_1,126,131,False,False,False,False,False,False,False
DOC_PP2A_B56_1,25,30,False,False,False,False,False,False,False
DOC_PP4_FxxP_1,117,120,False,False,False,False,False,False,False
DOC_USP7_MATH_1,44,48,False,False,False,False,False,False,False
DOC_USP7_MATH_1,78,82,False,False,False,False,False,False,False
DOC_USP7_MATH_1,83,87,False,False,False,False,False,False,False
DOC_WW_Pin1_4,116,121,False,False,False,False,False,False,False
LIG_14-3-3_CanoR_1,22,32,False,False,False,False,False,False,False
LIG_14-3-3_CanoR_1,23,32,False,False,False,False,False,False,False
LIG_Arc_Nlobe_1,14,19,False,False,False,False,False,False,False
LIG_EH_1,42,46,False,False,False,False,False,False,False
LIG_LIR_Apic_2,115,120,False,False,False,False,False,False,False
LIG_SH2_CRK,18,22,False,False,False,False,False,False,False
LIG_SH2_SFK_2,16,22,False,False,False,False,False,False,False
LIG_SH2_STAT5,112,115,False,False,False,False,False,False,False
LIG_SH2_STAT5,25,28,False,False,False,False,False,False,False
LIG_SH3_3,69,75,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,112,116,False,False,False,False,False,False,False
MOD_CK1_1,100,106,False,False,False,False,False,False,False
MOD_CK1_1,115,121,False,False,False,False,False,False,False
MOD_CK1_1,47,53,False,False,False,False,False,False,False
MOD_CK1_1,50,56,False,False,False,False,False,False,False
MOD_CK1_1,51,57,False,False,False,False,False,False,False
MOD_CK1_1,81,87,False,False,False,False,False,False,False
MOD_CK1_1,82,88,False,False,False,False,False,False,False
MOD_CK1_1,86,92,False,False,False,False,False,False,False
MOD_CK1_1,90,96,False,False,False,False,False,False,False
MOD_CK1_1,95,101,False,False,False,False,False,False,False
MOD_CK2_1,50,56,False,False,False,False,False,False,False
MOD_CK2_1,58,64,False,False,False,False,False,False,False
MOD_CK2_1,6,12,False,False,False,False,False,False,False
MOD_GSK3_1,112,119,False,False,False,False,False,False,False
MOD_GSK3_1,44,51,False,False,False,False,False,False,False
MOD_GSK3_1,47,54,False,False,False,False,False,False,False
MOD_GSK3_1,51,58,False,False,False,False,False,False,False
MOD_GSK3_1,6,13,False,False,False,False,False,False,False
MOD_GSK3_1,78,85,False,False,False,False,False,False,False
MOD_GSK3_1,79,86,False,False,False,False,False,False,False
MOD_GSK3_1,81,88,False,False,False,False,False,False,False
MOD_GSK3_1,82,89,False,False,False,False,False,False,False
MOD_GSK3_1,83,90,False,False,False,False,False,False,False
MOD_GSK3_1,84,91,False,False,False,False,False,False,False
MOD_GSK3_1,86,93,False,False,False,False,False,False,False
MOD_GSK3_1,88,95,False,False,False,False,False,False,False
MOD_GSK3_1,92,99,False,False,False,False,False,False,False
MOD_GSK3_1,96,103,False,False,False,False,False,False,False
MOD_GlcNHglycan,53,56,False,False,False,False,False,False,False
MOD_GlcNHglycan,81,84,False,False,False,False,False,False,False
MOD_GlcNHglycan,92,95,False,False,False,False,False,False,False
MOD_GlcNHglycan,94,97,False,False,False,False,False,False,False
MOD_N-GLC_1,100,105,False,False,False,False,False,False,False
MOD_N-GLC_1,96,101,False,False,False,False,False,False,False
MOD_PIKK_1,55,61,False,False,False,False,False,False,False
MOD_PIKK_1,76,82,False,False,False,False,False,False,False
MOD_Plk_4,112,118,False,False,False,False,False,False,False
MOD_Plk_4,121,127,False,False,False,False,False,False,False
MOD_ProDKin_1,116,122,False,False,False,False,False,False,False
TRG_ENDOCYTIC_2,18,21,False,False,False,False,False,False,False
TRG_ENDOCYTIC_2,25,28,False,False,False,False,False,False,False
TRG_ER_diArg_1,21,23,False,False,False,False,False,False,False
TRG_ER_diArg_1,22,24,False,False,False,False,False,False,False
