elm_identifier,start,stop,is_annotated,is_phiblastmatch,is_filtered,phiblast,topodomfilter,taxonfilter,structure
DEG_SCF_FBW7_1,56,62,False,False,False,False,False,False,False
DOC_CKS1_1,31,36,False,False,False,False,False,False,False
DOC_CKS1_1,56,61,False,False,False,False,False,False,False
DOC_PP4_FxxP_1,31,34,False,False,False,False,False,False,False
DOC_USP7_MATH_1,34,38,False,False,False,False,False,False,False
DOC_WW_Pin1_4,30,35,False,False,False,False,False,False,False
DOC_WW_Pin1_4,52,57,False,False,False,False,False,False,False
DOC_WW_Pin1_4,55,60,False,False,False,False,False,False,False
DOC_WW_Pin1_4,59,64,False,False,False,False,False,False,False
LIG_14-3-3_CanoR_1,35,39,False,False,False,False,False,False,False
LIG_LIR_Apic_2,30,34,False,False,False,False,False,False,False
LIG_MYND_1,22,26,False,False,False,False,False,False,False
LIG_PDZ_Class_2,87,92,False,False,False,False,False,False,False
LIG_SH3_3,53,59,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,45,51,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,47,54,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,50,54,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,61,66,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,62,66,False,False,False,False,False,False,False
LIG_WRC_WIRS_1,28,33,False,False,False,False,False,False,False
MOD_CDK_SPK_2,30,35,False,False,False,False,False,False,False
MOD_CK1_1,27,33,False,False,False,False,False,False,False
MOD_CK1_1,30,36,False,False,False,False,False,False,False
MOD_CK1_1,55,61,False,False,False,False,False,False,False
MOD_CK1_1,65,71,False,False,False,False,False,False,False
MOD_CK1_1,85,91,False,False,False,False,False,False,False
MOD_CK2_1,44,50,False,False,False,False,False,False,False
MOD_GSK3_1,30,37,False,False,False,False,False,False,False
MOD_GSK3_1,40,47,False,False,False,False,False,False,False
MOD_GSK3_1,55,62,False,False,False,False,False,False,False
MOD_GSK3_1,58,65,False,False,False,False,False,False,False
MOD_GlcNHglycan,44,47,False,False,False,False,False,False,False
MOD_GlcNHglycan,46,49,False,False,False,False,False,False,False
MOD_GlcNHglycan,64,67,False,False,False,False,False,False,False
MOD_GlcNHglycan,82,85,False,False,False,False,False,False,False
MOD_GlcNHglycan,84,87,False,False,False,False,False,False,False
MOD_PIKK_1,67,73,False,False,False,False,False,False,False
MOD_PIKK_1,85,91,False,False,False,False,False,False,False
MOD_PKA_2,34,40,False,False,False,False,False,False,False
MOD_ProDKin_1,30,36,False,False,False,False,False,False,False
MOD_ProDKin_1,52,58,False,False,False,False,False,False,False
MOD_ProDKin_1,55,61,False,False,False,False,False,False,False
MOD_ProDKin_1,59,65,False,False,False,False,False,False,False
TRG_DiLeu_BaEn_1,20,25,False,False,False,False,False,False,False
