elm_identifier,start,stop,is_annotated,is_phiblastmatch,is_filtered,phiblast,topodomfilter,taxonfilter,structure
DEG_CRBN_cyclicCter_1,118,121,False,False,False,False,False,False,False
DEG_Nend_UBRbox_3,1,2,False,False,False,False,False,False,False
DOC_CKS1_1,38,43,False,False,False,False,False,False,False
DOC_CKS1_1,50,55,False,False,False,False,False,False,False
DOC_WW_Pin1_4,112,117,False,False,False,False,False,False,False
DOC_WW_Pin1_4,31,36,False,False,False,False,False,False,False
DOC_WW_Pin1_4,37,42,False,False,False,False,False,False,False
DOC_WW_Pin1_4,49,54,False,False,False,False,False,False,False
DOC_WW_Pin1_4,65,70,False,False,False,False,False,False,False
DOC_WW_Pin1_4,89,94,False,False,False,False,False,False,False
LIG_Arc_Nlobe_1,17,21,False,False,False,False,False,False,False
LIG_FHA_1,86,92,False,False,False,False,False,False,False
LIG_MYND_1,14,18,False,False,False,False,False,False,False
LIG_SH3_3,113,119,False,False,False,False,False,False,False
LIG_SH3_3,114,120,False,False,False,False,False,False,False
LIG_SH3_3,32,38,False,False,False,False,False,False,False
LIG_SH3_3,35,41,False,False,False,False,False,False,False
LIG_SH3_3,38,44,False,False,False,False,False,False,False
LIG_SH3_3,41,47,False,False,False,False,False,False,False
LIG_SH3_3,44,50,False,False,False,False,False,False,False
LIG_SH3_3,47,53,False,False,False,False,False,False,False
LIG_SH3_3,50,56,False,False,False,False,False,False,False
LIG_SH3_3,53,59,False,False,False,False,False,False,False
LIG_SH3_3,56,62,False,False,False,False,False,False,False
LIG_SH3_3,59,65,False,False,False,False,False,False,False
LIG_WRC_WIRS_1,17,22,False,False,False,False,False,False,False
MOD_CK1_1,68,74,False,False,False,False,False,False,False
MOD_CK1_1,71,77,False,False,False,False,False,False,False
MOD_CK1_1,85,91,False,False,False,False,False,False,False
MOD_CK1_1,92,98,False,False,False,False,False,False,False
MOD_GSK3_1,60,67,False,False,False,False,False,False,False
MOD_GSK3_1,64,71,False,False,False,False,False,False,False
MOD_GSK3_1,65,72,False,False,False,False,False,False,False
MOD_GSK3_1,77,84,False,False,False,False,False,False,False
MOD_GSK3_1,78,85,False,False,False,False,False,False,False
MOD_GSK3_1,81,88,False,False,False,False,False,False,False
MOD_GSK3_1,85,92,False,False,False,False,False,False,False
MOD_GSK3_1,87,94,False,False,False,False,False,False,False
MOD_GlcNHglycan,84,87,False,False,False,False,False,False,False
MOD_GlcNHglycan,96,99,False,False,False,False,False,False,False
MOD_ProDKin_1,112,118,False,False,False,False,False,False,False
MOD_ProDKin_1,31,37,False,False,False,False,False,False,False
MOD_ProDKin_1,37,43,False,False,False,False,False,False,False
MOD_ProDKin_1,49,55,False,False,False,False,False,False,False
MOD_ProDKin_1,65,71,False,False,False,False,False,False,False
MOD_ProDKin_1,89,95,False,False,False,False,False,False,False
TRG_DiLeu_BaEn_1,12,17,False,False,False,False,False,False,False
