elm_identifier,start,stop,is_annotated,is_phiblastmatch,is_filtered,phiblast,topodomfilter,taxonfilter,structure
DEG_Nend_UBRbox_3,1,2,False,False,False,False,False,False,False
DEG_SPOP_SBC_1,52,56,False,False,False,False,False,False,False
DOC_CKS1_1,32,37,False,False,False,False,False,False,False
DOC_PP4_FxxP_1,32,35,False,False,False,False,False,False,False
DOC_USP7_MATH_1,35,39,False,False,False,False,False,False,False
DOC_WW_Pin1_4,31,36,False,False,False,False,False,False,False
DOC_WW_Pin1_4,53,58,False,False,False,False,False,False,False
DOC_WW_Pin1_4,60,65,False,False,False,False,False,False,False
LIG_14-3-3_CanoR_1,36,40,False,False,False,False,False,False,False
LIG_LIR_Apic_2,31,35,False,False,False,False,False,False,False
LIG_MYND_1,23,27,False,False,False,False,False,False,False
LIG_SH3_3,54,60,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,46,52,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,48,52,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,49,52,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,62,67,False,False,False,False,False,False,False
LIG_WD40_WDR5_VDV_2,63,67,False,False,False,False,False,False,False
LIG_WRC_WIRS_1,29,34,False,False,False,False,False,False,False
MOD_CDK_SPK_2,31,36,False,False,False,False,False,False,False
MOD_CK1_1,28,34,False,False,False,False,False,False,False
MOD_CK1_1,31,37,False,False,False,False,False,False,False
MOD_CK1_1,46,52,False,False,False,False,False,False,False
MOD_CK1_1,63,69,False,False,False,False,False,False,False
MOD_CK1_1,66,72,False,False,False,False,False,False,False
MOD_CK1_1,86,92,False,False,False,False,False,False,False
MOD_CK2_1,45,51,False,False,False,False,False,False,False
MOD_GSK3_1,31,38,False,False,False,False,False,False,False
MOD_GSK3_1,41,48,False,False,False,False,False,False,False
MOD_GSK3_1,59,66,False,False,False,False,False,False,False
MOD_GlcNHglycan,45,48,False,False,False,False,False,False,False
MOD_GlcNHglycan,48,51,False,False,False,False,False,False,False
MOD_GlcNHglycan,65,68,False,False,False,False,False,False,False
MOD_GlcNHglycan,83,86,False,False,False,False,False,False,False
MOD_GlcNHglycan,85,88,False,False,False,False,False,False,False
MOD_PIKK_1,86,92,False,False,False,False,False,False,False
MOD_PKA_2,35,41,False,False,False,False,False,False,False
MOD_ProDKin_1,31,37,False,False,False,False,False,False,False
MOD_ProDKin_1,53,59,False,False,False,False,False,False,False
MOD_ProDKin_1,60,66,False,False,False,False,False,False,False
TRG_DiLeu_BaEn_1,21,26,False,False,False,False,False,False,False
